"dataset_key","variant_id","variant_label","task_id","status"
"simulation","C0_RAW","Raw","ABL_001","planned"
"simulation","C1_OUTLIER","Outlier","ABL_002","planned"
"simulation","C2_SELECTIVE_DRIFT","+ selective drift","ABL_003","planned"
"simulation","C3_SELECTIVE_BATCH","+ selective batch","ABL_004","planned"
"simulation","C4_FULL_FIXED","+ PQN","ABL_005","planned"
"simulation","G_SS","selective/selective","ABL_006","planned"
"simulation","G_AS","all/selective","ABL_007","planned"
"simulation","G_SA","selective/all","ABL_008","planned"
"simulation","G_AA","all/all","ABL_009","planned"
"mtbls79","C0_RAW","Raw","ABL_010","planned"
"mtbls79","C1_OUTLIER","Outlier","ABL_011","planned"
"mtbls79","C2_SELECTIVE_DRIFT","+ selective drift","ABL_012","planned"
"mtbls79","C3_SELECTIVE_BATCH","+ selective batch","ABL_013","planned"
"mtbls79","C4_FULL_FIXED","+ PQN","ABL_014","planned"
"mtbls79","G_SS","selective/selective","ABL_015","planned"
"mtbls79","G_AS","all/selective","ABL_016","planned"
"mtbls79","G_SA","selective/all","ABL_017","planned"
"mtbls79","G_AA","all/all","ABL_018","planned"
"clinical_fiams","C0_RAW","Raw","ABL_019","planned"
"clinical_fiams","C1_OUTLIER","Outlier","ABL_020","planned"
"clinical_fiams","C2_SELECTIVE_DRIFT","+ selective drift","ABL_021","planned"
"clinical_fiams","C3_SELECTIVE_BATCH","+ selective batch","ABL_022","planned"
"clinical_fiams","C4_FULL_FIXED","+ PQN","ABL_023","planned"
"clinical_fiams","G_SS","selective/selective","ABL_024","planned"
"clinical_fiams","G_AS","all/selective","ABL_025","planned"
"clinical_fiams","G_SA","selective/all","ABL_026","planned"
"clinical_fiams","G_AA","all/all","ABL_027","planned"
"batchcorr_set1","C0_RAW","Raw","ABL_028","planned"
"batchcorr_set1","C1_OUTLIER","Outlier","ABL_029","planned"
"batchcorr_set1","C2_SELECTIVE_DRIFT","+ selective drift","ABL_030","planned"
"batchcorr_set1","C3_SELECTIVE_BATCH","+ selective batch","ABL_031","planned"
"batchcorr_set1","C4_FULL_FIXED","+ PQN","ABL_032","planned"
"batchcorr_set1","G_SS","selective/selective","ABL_033","planned"
"batchcorr_set1","G_AS","all/selective","ABL_034","planned"
"batchcorr_set1","G_SA","selective/all","ABL_035","planned"
"batchcorr_set1","G_AA","all/all","ABL_036","planned"
"sacurine","C0_RAW","Raw","ABL_037","planned"
"sacurine","C1_OUTLIER","Outlier","ABL_038","planned"
"sacurine","C2_SELECTIVE_DRIFT","+ selective drift","ABL_039","planned"
"sacurine","C3_SELECTIVE_BATCH","+ selective batch","ABL_040","planned"
"sacurine","C4_FULL_FIXED","+ PQN","ABL_041","planned"
"sacurine","G_SS","selective/selective","ABL_042","planned"
"sacurine","G_AS","all/selective","ABL_043","planned"
"sacurine","G_SA","selective/all","ABL_044","planned"
"sacurine","G_AA","all/all","ABL_045","planned"
"waveica","C0_RAW","Raw","ABL_046","planned"
"waveica","C1_OUTLIER","Outlier","ABL_047","planned"
"waveica","C2_SELECTIVE_DRIFT","+ selective drift","ABL_048","planned"
"waveica","C3_SELECTIVE_BATCH","+ selective batch","ABL_049","planned"
"waveica","C4_FULL_FIXED","+ PQN","ABL_050","planned"
"waveica","G_SS","selective/selective","ABL_051","planned"
"waveica","G_AS","all/selective","ABL_052","planned"
"waveica","G_SA","selective/all","ABL_053","planned"
"waveica","G_AA","all/all","ABL_054","planned"
