"dataset","seed_id","seed","batch","n_reference_units","n_internal_units","n_hidden","n_training","n_external","first_internal_reference_id","last_internal_reference_id","protect_first_last_required","boundary_constraint_passed","min_training_required","training_constraint_passed","batch_hidden_count_constraint_passed","boundary_reference_ids_redacted"
"simulation","SPLIT01",202608001,"P1",10,10,2,8,0,"S001","S091",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT01",202608001,"P2",10,10,2,8,0,"S101","S191",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT01",202608001,"P3",10,10,2,8,0,"S201","S291",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT01",202608001,"P4",10,10,2,8,0,"S301","S391",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT01",202608001,"P5",10,10,2,8,0,"S401","S491",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT02",202608002,"P1",10,10,2,8,0,"S001","S091",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT02",202608002,"P2",10,10,2,8,0,"S101","S191",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT02",202608002,"P3",10,10,2,8,0,"S201","S291",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT02",202608002,"P4",10,10,2,8,0,"S301","S391",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT02",202608002,"P5",10,10,2,8,0,"S401","S491",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT03",202608003,"P1",10,10,2,8,0,"S001","S091",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT03",202608003,"P2",10,10,2,8,0,"S101","S191",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT03",202608003,"P3",10,10,2,8,0,"S201","S291",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT03",202608003,"P4",10,10,2,8,0,"S301","S391",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT03",202608003,"P5",10,10,2,8,0,"S401","S491",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT04",202608004,"P1",10,10,2,8,0,"S001","S091",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT04",202608004,"P2",10,10,2,8,0,"S101","S191",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT04",202608004,"P3",10,10,2,8,0,"S201","S291",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT04",202608004,"P4",10,10,2,8,0,"S301","S391",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT04",202608004,"P5",10,10,2,8,0,"S401","S491",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT05",202608005,"P1",10,10,2,8,0,"S001","S091",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT05",202608005,"P2",10,10,2,8,0,"S101","S191",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT05",202608005,"P3",10,10,2,8,0,"S201","S291",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT05",202608005,"P4",10,10,2,8,0,"S301","S391",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT05",202608005,"P5",10,10,2,8,0,"S401","S491",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT06",202608006,"P1",10,10,2,8,0,"S001","S091",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT06",202608006,"P2",10,10,2,8,0,"S101","S191",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT06",202608006,"P3",10,10,2,8,0,"S201","S291",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT06",202608006,"P4",10,10,2,8,0,"S301","S391",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT06",202608006,"P5",10,10,2,8,0,"S401","S491",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT07",202608007,"P1",10,10,2,8,0,"S001","S091",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT07",202608007,"P2",10,10,2,8,0,"S101","S191",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT07",202608007,"P3",10,10,2,8,0,"S201","S291",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT07",202608007,"P4",10,10,2,8,0,"S301","S391",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT07",202608007,"P5",10,10,2,8,0,"S401","S491",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT08",202608008,"P1",10,10,2,8,0,"S001","S091",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT08",202608008,"P2",10,10,2,8,0,"S101","S191",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT08",202608008,"P3",10,10,2,8,0,"S201","S291",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT08",202608008,"P4",10,10,2,8,0,"S301","S391",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT08",202608008,"P5",10,10,2,8,0,"S401","S491",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT09",202608009,"P1",10,10,2,8,0,"S001","S091",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT09",202608009,"P2",10,10,2,8,0,"S101","S191",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT09",202608009,"P3",10,10,2,8,0,"S201","S291",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT09",202608009,"P4",10,10,2,8,0,"S301","S391",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT09",202608009,"P5",10,10,2,8,0,"S401","S491",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT10",202608010,"P1",10,10,2,8,0,"S001","S091",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT10",202608010,"P2",10,10,2,8,0,"S101","S191",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT10",202608010,"P3",10,10,2,8,0,"S201","S291",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT10",202608010,"P4",10,10,2,8,0,"S301","S391",FALSE,TRUE,8,TRUE,TRUE,FALSE
"simulation","SPLIT10",202608010,"P5",10,10,2,8,0,"S401","S491",FALSE,TRUE,8,TRUE,TRUE,FALSE
"mtbls79","SPLIT01",202608001,"1",7,7,2,5,0,"batch01_QC01","batch01_QC07",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT01",202608001,"2",4,4,1,3,0,"batch02_QC08","batch02_QC11",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT01",202608001,"3",4,4,1,3,0,"batch03_QC12","batch03_QC15",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT01",202608001,"4",4,4,1,3,0,"batch04_QC16","batch04_QC19",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT01",202608001,"5",5,5,2,3,0,"batch05_QC20","batch05_QC24",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT01",202608001,"6",5,5,2,3,0,"Batch06_QC25","Batch06_QC29",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT01",202608001,"7",5,5,2,3,0,"Batch07_QC30","Batch07_QC34",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT01",202608001,"8",4,4,1,3,0,"Batch08_QC36","Batch08_QC39",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT02",202608002,"1",7,7,2,5,0,"batch01_QC01","batch01_QC07",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT02",202608002,"2",4,4,1,3,0,"batch02_QC08","batch02_QC11",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT02",202608002,"3",4,4,1,3,0,"batch03_QC12","batch03_QC15",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT02",202608002,"4",4,4,1,3,0,"batch04_QC16","batch04_QC19",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT02",202608002,"5",5,5,2,3,0,"batch05_QC20","batch05_QC24",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT02",202608002,"6",5,5,2,3,0,"Batch06_QC25","Batch06_QC29",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT02",202608002,"7",5,5,2,3,0,"Batch07_QC30","Batch07_QC34",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT02",202608002,"8",4,4,1,3,0,"Batch08_QC36","Batch08_QC39",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT03",202608003,"1",7,7,3,4,0,"batch01_QC01","batch01_QC07",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT03",202608003,"2",4,4,1,3,0,"batch02_QC08","batch02_QC11",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT03",202608003,"3",4,4,1,3,0,"batch03_QC12","batch03_QC15",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT03",202608003,"4",4,4,1,3,0,"batch04_QC16","batch04_QC19",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT03",202608003,"5",5,5,2,3,0,"batch05_QC20","batch05_QC24",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT03",202608003,"6",5,5,1,4,0,"Batch06_QC25","Batch06_QC29",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT03",202608003,"7",5,5,2,3,0,"Batch07_QC30","Batch07_QC34",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT03",202608003,"8",4,4,1,3,0,"Batch08_QC36","Batch08_QC39",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT04",202608004,"1",7,7,3,4,0,"batch01_QC01","batch01_QC07",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT04",202608004,"2",4,4,1,3,0,"batch02_QC08","batch02_QC11",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT04",202608004,"3",4,4,1,3,0,"batch03_QC12","batch03_QC15",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT04",202608004,"4",4,4,1,3,0,"batch04_QC16","batch04_QC19",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT04",202608004,"5",5,5,2,3,0,"batch05_QC20","batch05_QC24",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT04",202608004,"6",5,5,2,3,0,"Batch06_QC25","Batch06_QC29",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT04",202608004,"7",5,5,1,4,0,"Batch07_QC30","Batch07_QC34",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT04",202608004,"8",4,4,1,3,0,"Batch08_QC36","Batch08_QC39",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT05",202608005,"1",7,7,3,4,0,"batch01_QC01","batch01_QC07",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT05",202608005,"2",4,4,1,3,0,"batch02_QC08","batch02_QC11",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT05",202608005,"3",4,4,1,3,0,"batch03_QC12","batch03_QC15",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT05",202608005,"4",4,4,1,3,0,"batch04_QC16","batch04_QC19",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT05",202608005,"5",5,5,2,3,0,"batch05_QC20","batch05_QC24",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT05",202608005,"6",5,5,2,3,0,"Batch06_QC25","Batch06_QC29",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT05",202608005,"7",5,5,1,4,0,"Batch07_QC30","Batch07_QC34",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT05",202608005,"8",4,4,1,3,0,"Batch08_QC36","Batch08_QC39",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT06",202608006,"1",7,7,2,5,0,"batch01_QC01","batch01_QC07",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT06",202608006,"2",4,4,1,3,0,"batch02_QC08","batch02_QC11",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT06",202608006,"3",4,4,1,3,0,"batch03_QC12","batch03_QC15",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT06",202608006,"4",4,4,1,3,0,"batch04_QC16","batch04_QC19",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT06",202608006,"5",5,5,2,3,0,"batch05_QC20","batch05_QC24",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT06",202608006,"6",5,5,2,3,0,"Batch06_QC25","Batch06_QC29",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT06",202608006,"7",5,5,2,3,0,"Batch07_QC30","Batch07_QC34",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT06",202608006,"8",4,4,1,3,0,"Batch08_QC36","Batch08_QC39",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT07",202608007,"1",7,7,3,4,0,"batch01_QC01","batch01_QC07",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT07",202608007,"2",4,4,1,3,0,"batch02_QC08","batch02_QC11",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT07",202608007,"3",4,4,1,3,0,"batch03_QC12","batch03_QC15",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT07",202608007,"4",4,4,1,3,0,"batch04_QC16","batch04_QC19",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT07",202608007,"5",5,5,2,3,0,"batch05_QC20","batch05_QC24",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT07",202608007,"6",5,5,1,4,0,"Batch06_QC25","Batch06_QC29",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT07",202608007,"7",5,5,2,3,0,"Batch07_QC30","Batch07_QC34",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT07",202608007,"8",4,4,1,3,0,"Batch08_QC36","Batch08_QC39",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT08",202608008,"1",7,7,3,4,0,"batch01_QC01","batch01_QC07",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT08",202608008,"2",4,4,1,3,0,"batch02_QC08","batch02_QC11",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT08",202608008,"3",4,4,1,3,0,"batch03_QC12","batch03_QC15",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT08",202608008,"4",4,4,1,3,0,"batch04_QC16","batch04_QC19",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT08",202608008,"5",5,5,1,4,0,"batch05_QC20","batch05_QC24",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT08",202608008,"6",5,5,2,3,0,"Batch06_QC25","Batch06_QC29",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT08",202608008,"7",5,5,2,3,0,"Batch07_QC30","Batch07_QC34",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT08",202608008,"8",4,4,1,3,0,"Batch08_QC36","Batch08_QC39",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT09",202608009,"1",7,7,3,4,0,"batch01_QC01","batch01_QC07",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT09",202608009,"2",4,4,1,3,0,"batch02_QC08","batch02_QC11",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT09",202608009,"3",4,4,1,3,0,"batch03_QC12","batch03_QC15",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT09",202608009,"4",4,4,1,3,0,"batch04_QC16","batch04_QC19",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT09",202608009,"5",5,5,2,3,0,"batch05_QC20","batch05_QC24",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT09",202608009,"6",5,5,1,4,0,"Batch06_QC25","Batch06_QC29",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT09",202608009,"7",5,5,2,3,0,"Batch07_QC30","Batch07_QC34",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT09",202608009,"8",4,4,1,3,0,"Batch08_QC36","Batch08_QC39",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT10",202608010,"1",7,7,3,4,0,"batch01_QC01","batch01_QC07",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT10",202608010,"2",4,4,1,3,0,"batch02_QC08","batch02_QC11",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT10",202608010,"3",4,4,1,3,0,"batch03_QC12","batch03_QC15",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT10",202608010,"4",4,4,1,3,0,"batch04_QC16","batch04_QC19",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT10",202608010,"5",5,5,1,4,0,"batch05_QC20","batch05_QC24",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT10",202608010,"6",5,5,2,3,0,"Batch06_QC25","Batch06_QC29",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT10",202608010,"7",5,5,2,3,0,"Batch07_QC30","Batch07_QC34",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT10",202608010,"8",4,4,1,3,0,"Batch08_QC36","Batch08_QC39",TRUE,TRUE,3,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT01",202608001,"B1",5,5,1,4,0,"LCMS sample 1","LCMS sample 79",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT01",202608001,"B2",6,6,1,5,0,"LCMS sample 80","LCMS sample 157",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT01",202608001,"B9",5,5,1,4,0,"LCMS sample 158","LCMS sample 236",TRUE,TRUE,4,TRUE,TRUE,FALSE
