"dataset","seed_id","assignment","batch","n_units"
"clinical_fiams","SPLIT01","external","1",5
"clinical_fiams","SPLIT02","external","1",5
"clinical_fiams","SPLIT03","external","1",5
"clinical_fiams","SPLIT04","external","1",5
"clinical_fiams","SPLIT05","external","1",5
"clinical_fiams","SPLIT06","external","1",5
"clinical_fiams","SPLIT07","external","1",5
"clinical_fiams","SPLIT08","external","1",5
"clinical_fiams","SPLIT09","external","1",5
"clinical_fiams","SPLIT10","external","1",5
"clinical_fiams","SPLIT01","hidden","1",1
"clinical_fiams","SPLIT02","hidden","1",1
"clinical_fiams","SPLIT03","hidden","1",1
"clinical_fiams","SPLIT04","hidden","1",1
"clinical_fiams","SPLIT05","hidden","1",1
"clinical_fiams","SPLIT06","hidden","1",1
"clinical_fiams","SPLIT07","hidden","1",1
"clinical_fiams","SPLIT08","hidden","1",1
"clinical_fiams","SPLIT09","hidden","1",1
"clinical_fiams","SPLIT10","hidden","1",1
"clinical_fiams","SPLIT01","training","1",7
"clinical_fiams","SPLIT02","training","1",7
"clinical_fiams","SPLIT03","training","1",7
"clinical_fiams","SPLIT04","training","1",7
"clinical_fiams","SPLIT05","training","1",7
"clinical_fiams","SPLIT06","training","1",7
"clinical_fiams","SPLIT07","training","1",7
"clinical_fiams","SPLIT08","training","1",7
"clinical_fiams","SPLIT09","training","1",7
"clinical_fiams","SPLIT10","training","1",7
"clinical_fiams","SPLIT01","external","2",5
"clinical_fiams","SPLIT02","external","2",5
"clinical_fiams","SPLIT03","external","2",5
"clinical_fiams","SPLIT04","external","2",5
"clinical_fiams","SPLIT05","external","2",5
"clinical_fiams","SPLIT06","external","2",5
"clinical_fiams","SPLIT07","external","2",5
"clinical_fiams","SPLIT08","external","2",5
"clinical_fiams","SPLIT09","external","2",5
"clinical_fiams","SPLIT10","external","2",5
"clinical_fiams","SPLIT01","hidden","2",1
"clinical_fiams","SPLIT02","hidden","2",1
"clinical_fiams","SPLIT03","hidden","2",1
"clinical_fiams","SPLIT04","hidden","2",1
"clinical_fiams","SPLIT05","hidden","2",1
"clinical_fiams","SPLIT06","hidden","2",1
"clinical_fiams","SPLIT07","hidden","2",1
"clinical_fiams","SPLIT08","hidden","2",1
"clinical_fiams","SPLIT09","hidden","2",1
"clinical_fiams","SPLIT10","hidden","2",1
"clinical_fiams","SPLIT01","training","2",7
"clinical_fiams","SPLIT02","training","2",7
"clinical_fiams","SPLIT03","training","2",7
"clinical_fiams","SPLIT04","training","2",7
"clinical_fiams","SPLIT05","training","2",7
"clinical_fiams","SPLIT06","training","2",7
"clinical_fiams","SPLIT07","training","2",7
"clinical_fiams","SPLIT08","training","2",7
"clinical_fiams","SPLIT09","training","2",7
"clinical_fiams","SPLIT10","training","2",7
"clinical_fiams","SPLIT01","external","3",5
"clinical_fiams","SPLIT02","external","3",5
"clinical_fiams","SPLIT03","external","3",5
"clinical_fiams","SPLIT04","external","3",5
"clinical_fiams","SPLIT05","external","3",5
"clinical_fiams","SPLIT06","external","3",5
"clinical_fiams","SPLIT07","external","3",5
"clinical_fiams","SPLIT08","external","3",5
"clinical_fiams","SPLIT09","external","3",5
"clinical_fiams","SPLIT10","external","3",5
"clinical_fiams","SPLIT01","hidden","3",1
"clinical_fiams","SPLIT02","hidden","3",1
"clinical_fiams","SPLIT03","hidden","3",1
"clinical_fiams","SPLIT04","hidden","3",1
"clinical_fiams","SPLIT05","hidden","3",1
"clinical_fiams","SPLIT06","hidden","3",1
"clinical_fiams","SPLIT07","hidden","3",1
"clinical_fiams","SPLIT08","hidden","3",1
"clinical_fiams","SPLIT09","hidden","3",1
"clinical_fiams","SPLIT10","hidden","3",1
"clinical_fiams","SPLIT01","training","3",18
"clinical_fiams","SPLIT02","training","3",18
"clinical_fiams","SPLIT03","training","3",18
