"dataset_key","split_number","method_id","split_id","method","method_order","task_id","selection_rule","output_dir","status"
"simulation",1,"raw","SPLIT01","Raw",1,"REF_001","fixed; no selection","results/reference_splits/simulation/SPLIT01/raw","planned"
"simulation",1,"combat","SPLIT01","ComBat",2,"REF_002","fixed; no selection","results/reference_splits/simulation/SPLIT01/combat","planned"
"simulation",1,"qc_rlsc","SPLIT01","QC-RLSC",3,"REF_003","fixed; no selection","results/reference_splits/simulation/SPLIT01/qc_rlsc","planned"
"simulation",1,"qc_rfsc","SPLIT01","QC-RFSC",4,"REF_004","fixed; no selection","results/reference_splits/simulation/SPLIT01/qc_rfsc","planned"
"simulation",1,"serrf","SPLIT01","SERRF",6,"REF_005","fixed; no selection","results/reference_splits/simulation/SPLIT01/serrf","planned"
"simulation",1,"winn_auto_qc","SPLIT01","WiNN auto (QC)",7,"REF_006","package auto using training QCs only","results/reference_splits/simulation/SPLIT01/winn_auto_qc","planned"
"simulation",1,"winn_auto_batch_qc","SPLIT01","WiNN auto-batch (QC)",8,"REF_007","package auto using training QCs only","results/reference_splits/simulation/SPLIT01/winn_auto_batch_qc","planned"
"simulation",1,"winn_fixed_no_qc","SPLIT01","WiNN fixed default (no QC)",9,"REF_008","fixed; no selection","results/reference_splits/simulation/SPLIT01/winn_fixed_no_qc","planned"
"simulation",2,"raw","SPLIT02","Raw",1,"REF_009","fixed; no selection","results/reference_splits/simulation/SPLIT02/raw","planned"
"simulation",2,"combat","SPLIT02","ComBat",2,"REF_010","fixed; no selection","results/reference_splits/simulation/SPLIT02/combat","planned"
"simulation",2,"qc_rlsc","SPLIT02","QC-RLSC",3,"REF_011","fixed; no selection","results/reference_splits/simulation/SPLIT02/qc_rlsc","planned"
"simulation",2,"qc_rfsc","SPLIT02","QC-RFSC",4,"REF_012","fixed; no selection","results/reference_splits/simulation/SPLIT02/qc_rfsc","planned"
"simulation",2,"serrf","SPLIT02","SERRF",6,"REF_013","fixed; no selection","results/reference_splits/simulation/SPLIT02/serrf","planned"
"simulation",2,"winn_auto_qc","SPLIT02","WiNN auto (QC)",7,"REF_014","package auto using training QCs only","results/reference_splits/simulation/SPLIT02/winn_auto_qc","planned"
"simulation",2,"winn_auto_batch_qc","SPLIT02","WiNN auto-batch (QC)",8,"REF_015","package auto using training QCs only","results/reference_splits/simulation/SPLIT02/winn_auto_batch_qc","planned"
"simulation",2,"winn_fixed_no_qc","SPLIT02","WiNN fixed default (no QC)",9,"REF_016","fixed; no selection","results/reference_splits/simulation/SPLIT02/winn_fixed_no_qc","planned"
"simulation",3,"raw","SPLIT03","Raw",1,"REF_017","fixed; no selection","results/reference_splits/simulation/SPLIT03/raw","planned"
"simulation",3,"combat","SPLIT03","ComBat",2,"REF_018","fixed; no selection","results/reference_splits/simulation/SPLIT03/combat","planned"
"simulation",3,"qc_rlsc","SPLIT03","QC-RLSC",3,"REF_019","fixed; no selection","results/reference_splits/simulation/SPLIT03/qc_rlsc","planned"
"simulation",3,"qc_rfsc","SPLIT03","QC-RFSC",4,"REF_020","fixed; no selection","results/reference_splits/simulation/SPLIT03/qc_rfsc","planned"
"simulation",3,"serrf","SPLIT03","SERRF",6,"REF_021","fixed; no selection","results/reference_splits/simulation/SPLIT03/serrf","planned"
"simulation",3,"winn_auto_qc","SPLIT03","WiNN auto (QC)",7,"REF_022","package auto using training QCs only","results/reference_splits/simulation/SPLIT03/winn_auto_qc","planned"
"simulation",3,"winn_auto_batch_qc","SPLIT03","WiNN auto-batch (QC)",8,"REF_023","package auto using training QCs only","results/reference_splits/simulation/SPLIT03/winn_auto_batch_qc","planned"
"simulation",3,"winn_fixed_no_qc","SPLIT03","WiNN fixed default (no QC)",9,"REF_024","fixed; no selection","results/reference_splits/simulation/SPLIT03/winn_fixed_no_qc","planned"
"simulation",4,"raw","SPLIT04","Raw",1,"REF_025","fixed; no selection","results/reference_splits/simulation/SPLIT04/raw","planned"
"simulation",4,"combat","SPLIT04","ComBat",2,"REF_026","fixed; no selection","results/reference_splits/simulation/SPLIT04/combat","planned"
"simulation",4,"qc_rlsc","SPLIT04","QC-RLSC",3,"REF_027","fixed; no selection","results/reference_splits/simulation/SPLIT04/qc_rlsc","planned"
"simulation",4,"qc_rfsc","SPLIT04","QC-RFSC",4,"REF_028","fixed; no selection","results/reference_splits/simulation/SPLIT04/qc_rfsc","planned"
"simulation",4,"serrf","SPLIT04","SERRF",6,"REF_029","fixed; no selection","results/reference_splits/simulation/SPLIT04/serrf","planned"
"simulation",4,"winn_auto_qc","SPLIT04","WiNN auto (QC)",7,"REF_030","package auto using training QCs only","results/reference_splits/simulation/SPLIT04/winn_auto_qc","planned"
"simulation",4,"winn_auto_batch_qc","SPLIT04","WiNN auto-batch (QC)",8,"REF_031","package auto using training QCs only","results/reference_splits/simulation/SPLIT04/winn_auto_batch_qc","planned"
"simulation",4,"winn_fixed_no_qc","SPLIT04","WiNN fixed default (no QC)",9,"REF_032","fixed; no selection","results/reference_splits/simulation/SPLIT04/winn_fixed_no_qc","planned"
"simulation",5,"raw","SPLIT05","Raw",1,"REF_033","fixed; no selection","results/reference_splits/simulation/SPLIT05/raw","planned"
"simulation",5,"combat","SPLIT05","ComBat",2,"REF_034","fixed; no selection","results/reference_splits/simulation/SPLIT05/combat","planned"
"simulation",5,"qc_rlsc","SPLIT05","QC-RLSC",3,"REF_035","fixed; no selection","results/reference_splits/simulation/SPLIT05/qc_rlsc","planned"
"simulation",5,"qc_rfsc","SPLIT05","QC-RFSC",4,"REF_036","fixed; no selection","results/reference_splits/simulation/SPLIT05/qc_rfsc","planned"
"simulation",5,"serrf","SPLIT05","SERRF",6,"REF_037","fixed; no selection","results/reference_splits/simulation/SPLIT05/serrf","planned"
"simulation",5,"winn_auto_qc","SPLIT05","WiNN auto (QC)",7,"REF_038","package auto using training QCs only","results/reference_splits/simulation/SPLIT05/winn_auto_qc","planned"
"simulation",5,"winn_auto_batch_qc","SPLIT05","WiNN auto-batch (QC)",8,"REF_039","package auto using training QCs only","results/reference_splits/simulation/SPLIT05/winn_auto_batch_qc","planned"
"simulation",5,"winn_fixed_no_qc","SPLIT05","WiNN fixed default (no QC)",9,"REF_040","fixed; no selection","results/reference_splits/simulation/SPLIT05/winn_fixed_no_qc","planned"
"simulation",6,"raw","SPLIT06","Raw",1,"REF_041","fixed; no selection","results/reference_splits/simulation/SPLIT06/raw","planned"
"simulation",6,"combat","SPLIT06","ComBat",2,"REF_042","fixed; no selection","results/reference_splits/simulation/SPLIT06/combat","planned"
"simulation",6,"qc_rlsc","SPLIT06","QC-RLSC",3,"REF_043","fixed; no selection","results/reference_splits/simulation/SPLIT06/qc_rlsc","planned"
"simulation",6,"qc_rfsc","SPLIT06","QC-RFSC",4,"REF_044","fixed; no selection","results/reference_splits/simulation/SPLIT06/qc_rfsc","planned"
"simulation",6,"serrf","SPLIT06","SERRF",6,"REF_045","fixed; no selection","results/reference_splits/simulation/SPLIT06/serrf","planned"
"simulation",6,"winn_auto_qc","SPLIT06","WiNN auto (QC)",7,"REF_046","package auto using training QCs only","results/reference_splits/simulation/SPLIT06/winn_auto_qc","planned"
"simulation",6,"winn_auto_batch_qc","SPLIT06","WiNN auto-batch (QC)",8,"REF_047","package auto using training QCs only","results/reference_splits/simulation/SPLIT06/winn_auto_batch_qc","planned"
"simulation",6,"winn_fixed_no_qc","SPLIT06","WiNN fixed default (no QC)",9,"REF_048","fixed; no selection","results/reference_splits/simulation/SPLIT06/winn_fixed_no_qc","planned"
"simulation",7,"raw","SPLIT07","Raw",1,"REF_049","fixed; no selection","results/reference_splits/simulation/SPLIT07/raw","planned"
"simulation",7,"combat","SPLIT07","ComBat",2,"REF_050","fixed; no selection","results/reference_splits/simulation/SPLIT07/combat","planned"
"simulation",7,"qc_rlsc","SPLIT07","QC-RLSC",3,"REF_051","fixed; no selection","results/reference_splits/simulation/SPLIT07/qc_rlsc","planned"
"simulation",7,"qc_rfsc","SPLIT07","QC-RFSC",4,"REF_052","fixed; no selection","results/reference_splits/simulation/SPLIT07/qc_rfsc","planned"
"simulation",7,"serrf","SPLIT07","SERRF",6,"REF_053","fixed; no selection","results/reference_splits/simulation/SPLIT07/serrf","planned"
"simulation",7,"winn_auto_qc","SPLIT07","WiNN auto (QC)",7,"REF_054","package auto using training QCs only","results/reference_splits/simulation/SPLIT07/winn_auto_qc","planned"
"simulation",7,"winn_auto_batch_qc","SPLIT07","WiNN auto-batch (QC)",8,"REF_055","package auto using training QCs only","results/reference_splits/simulation/SPLIT07/winn_auto_batch_qc","planned"
"simulation",7,"winn_fixed_no_qc","SPLIT07","WiNN fixed default (no QC)",9,"REF_056","fixed; no selection","results/reference_splits/simulation/SPLIT07/winn_fixed_no_qc","planned"
"simulation",8,"raw","SPLIT08","Raw",1,"REF_057","fixed; no selection","results/reference_splits/simulation/SPLIT08/raw","planned"
"simulation",8,"combat","SPLIT08","ComBat",2,"REF_058","fixed; no selection","results/reference_splits/simulation/SPLIT08/combat","planned"
"simulation",8,"qc_rlsc","SPLIT08","QC-RLSC",3,"REF_059","fixed; no selection","results/reference_splits/simulation/SPLIT08/qc_rlsc","planned"
"simulation",8,"qc_rfsc","SPLIT08","QC-RFSC",4,"REF_060","fixed; no selection","results/reference_splits/simulation/SPLIT08/qc_rfsc","planned"
"simulation",8,"serrf","SPLIT08","SERRF",6,"REF_061","fixed; no selection","results/reference_splits/simulation/SPLIT08/serrf","planned"
"simulation",8,"winn_auto_qc","SPLIT08","WiNN auto (QC)",7,"REF_062","package auto using training QCs only","results/reference_splits/simulation/SPLIT08/winn_auto_qc","planned"
"simulation",8,"winn_auto_batch_qc","SPLIT08","WiNN auto-batch (QC)",8,"REF_063","package auto using training QCs only","results/reference_splits/simulation/SPLIT08/winn_auto_batch_qc","planned"
"simulation",8,"winn_fixed_no_qc","SPLIT08","WiNN fixed default (no QC)",9,"REF_064","fixed; no selection","results/reference_splits/simulation/SPLIT08/winn_fixed_no_qc","planned"
"simulation",9,"raw","SPLIT09","Raw",1,"REF_065","fixed; no selection","results/reference_splits/simulation/SPLIT09/raw","planned"
"simulation",9,"combat","SPLIT09","ComBat",2,"REF_066","fixed; no selection","results/reference_splits/simulation/SPLIT09/combat","planned"
"simulation",9,"qc_rlsc","SPLIT09","QC-RLSC",3,"REF_067","fixed; no selection","results/reference_splits/simulation/SPLIT09/qc_rlsc","planned"
"simulation",9,"qc_rfsc","SPLIT09","QC-RFSC",4,"REF_068","fixed; no selection","results/reference_splits/simulation/SPLIT09/qc_rfsc","planned"
"simulation",9,"serrf","SPLIT09","SERRF",6,"REF_069","fixed; no selection","results/reference_splits/simulation/SPLIT09/serrf","planned"
"simulation",9,"winn_auto_qc","SPLIT09","WiNN auto (QC)",7,"REF_070","package auto using training QCs only","results/reference_splits/simulation/SPLIT09/winn_auto_qc","planned"
"simulation",9,"winn_auto_batch_qc","SPLIT09","WiNN auto-batch (QC)",8,"REF_071","package auto using training QCs only","results/reference_splits/simulation/SPLIT09/winn_auto_batch_qc","planned"
"simulation",9,"winn_fixed_no_qc","SPLIT09","WiNN fixed default (no QC)",9,"REF_072","fixed; no selection","results/reference_splits/simulation/SPLIT09/winn_fixed_no_qc","planned"
"simulation",10,"raw","SPLIT10","Raw",1,"REF_073","fixed; no selection","results/reference_splits/simulation/SPLIT10/raw","planned"
"simulation",10,"combat","SPLIT10","ComBat",2,"REF_074","fixed; no selection","results/reference_splits/simulation/SPLIT10/combat","planned"
"simulation",10,"qc_rlsc","SPLIT10","QC-RLSC",3,"REF_075","fixed; no selection","results/reference_splits/simulation/SPLIT10/qc_rlsc","planned"
"simulation",10,"qc_rfsc","SPLIT10","QC-RFSC",4,"REF_076","fixed; no selection","results/reference_splits/simulation/SPLIT10/qc_rfsc","planned"
"simulation",10,"serrf","SPLIT10","SERRF",6,"REF_077","fixed; no selection","results/reference_splits/simulation/SPLIT10/serrf","planned"
"simulation",10,"winn_auto_qc","SPLIT10","WiNN auto (QC)",7,"REF_078","package auto using training QCs only","results/reference_splits/simulation/SPLIT10/winn_auto_qc","planned"
"simulation",10,"winn_auto_batch_qc","SPLIT10","WiNN auto-batch (QC)",8,"REF_079","package auto using training QCs only","results/reference_splits/simulation/SPLIT10/winn_auto_batch_qc","planned"
"simulation",10,"winn_fixed_no_qc","SPLIT10","WiNN fixed default (no QC)",9,"REF_080","fixed; no selection","results/reference_splits/simulation/SPLIT10/winn_fixed_no_qc","planned"
"mtbls79",1,"raw","SPLIT01","Raw",1,"REF_081","fixed; no selection","results/reference_splits/mtbls79/SPLIT01/raw","planned"
"mtbls79",1,"combat","SPLIT01","ComBat",2,"REF_082","training-QC score only within split","results/reference_splits/mtbls79/SPLIT01/combat","planned"
"mtbls79",1,"qc_rlsc","SPLIT01","QC-RLSC",3,"REF_083","training-QC score only within split","results/reference_splits/mtbls79/SPLIT01/qc_rlsc","planned"
"mtbls79",1,"qc_rfsc","SPLIT01","QC-RFSC",4,"REF_084","training-QC score only within split","results/reference_splits/mtbls79/SPLIT01/qc_rfsc","planned"
"mtbls79",1,"serrf","SPLIT01","SERRF",6,"REF_085","training-QC score only within split","results/reference_splits/mtbls79/SPLIT01/serrf","planned"
"mtbls79",1,"winn_auto_qc","SPLIT01","WiNN auto (QC)",7,"REF_086","package auto using training QCs only","results/reference_splits/mtbls79/SPLIT01/winn_auto_qc","planned"
"mtbls79",1,"winn_auto_batch_qc","SPLIT01","WiNN auto-batch (QC)",8,"REF_087","package auto using training QCs only","results/reference_splits/mtbls79/SPLIT01/winn_auto_batch_qc","planned"
"mtbls79",1,"winn_fixed_no_qc","SPLIT01","WiNN fixed default (no QC)",9,"REF_088","fixed; no selection","results/reference_splits/mtbls79/SPLIT01/winn_fixed_no_qc","planned"
