"seed_id","variant_id","variant_label","task_id","status"
"SIM01","C0_RAW","Raw","SIMABL_001","planned"
"SIM01","C1_OUTLIER","Outlier","SIMABL_002","planned"
"SIM01","C2_SELECTIVE_DRIFT","+ selective drift","SIMABL_003","planned"
"SIM01","C3_SELECTIVE_BATCH","+ selective batch","SIMABL_004","planned"
"SIM01","C4_FULL_FIXED","+ PQN","SIMABL_005","planned"
"SIM01","G_SS","selective/selective","SIMABL_006","planned"
"SIM01","G_AS","all/selective","SIMABL_007","planned"
"SIM01","G_SA","selective/all","SIMABL_008","planned"
"SIM01","G_AA","all/all","SIMABL_009","planned"
"SIM02","C0_RAW","Raw","SIMABL_010","planned"
"SIM02","C1_OUTLIER","Outlier","SIMABL_011","planned"
"SIM02","C2_SELECTIVE_DRIFT","+ selective drift","SIMABL_012","planned"
"SIM02","C3_SELECTIVE_BATCH","+ selective batch","SIMABL_013","planned"
"SIM02","C4_FULL_FIXED","+ PQN","SIMABL_014","planned"
"SIM02","G_SS","selective/selective","SIMABL_015","planned"
"SIM02","G_AS","all/selective","SIMABL_016","planned"
"SIM02","G_SA","selective/all","SIMABL_017","planned"
"SIM02","G_AA","all/all","SIMABL_018","planned"
"SIM03","C0_RAW","Raw","SIMABL_019","planned"
"SIM03","C1_OUTLIER","Outlier","SIMABL_020","planned"
"SIM03","C2_SELECTIVE_DRIFT","+ selective drift","SIMABL_021","planned"
"SIM03","C3_SELECTIVE_BATCH","+ selective batch","SIMABL_022","planned"
"SIM03","C4_FULL_FIXED","+ PQN","SIMABL_023","planned"
"SIM03","G_SS","selective/selective","SIMABL_024","planned"
"SIM03","G_AS","all/selective","SIMABL_025","planned"
"SIM03","G_SA","selective/all","SIMABL_026","planned"
"SIM03","G_AA","all/all","SIMABL_027","planned"
"SIM04","C0_RAW","Raw","SIMABL_028","planned"
"SIM04","C1_OUTLIER","Outlier","SIMABL_029","planned"
"SIM04","C2_SELECTIVE_DRIFT","+ selective drift","SIMABL_030","planned"
"SIM04","C3_SELECTIVE_BATCH","+ selective batch","SIMABL_031","planned"
"SIM04","C4_FULL_FIXED","+ PQN","SIMABL_032","planned"
"SIM04","G_SS","selective/selective","SIMABL_033","planned"
"SIM04","G_AS","all/selective","SIMABL_034","planned"
"SIM04","G_SA","selective/all","SIMABL_035","planned"
"SIM04","G_AA","all/all","SIMABL_036","planned"
"SIM05","C0_RAW","Raw","SIMABL_037","planned"
"SIM05","C1_OUTLIER","Outlier","SIMABL_038","planned"
"SIM05","C2_SELECTIVE_DRIFT","+ selective drift","SIMABL_039","planned"
"SIM05","C3_SELECTIVE_BATCH","+ selective batch","SIMABL_040","planned"
"SIM05","C4_FULL_FIXED","+ PQN","SIMABL_041","planned"
"SIM05","G_SS","selective/selective","SIMABL_042","planned"
"SIM05","G_AS","all/selective","SIMABL_043","planned"
"SIM05","G_SA","selective/all","SIMABL_044","planned"
"SIM05","G_AA","all/all","SIMABL_045","planned"
"SIM06","C0_RAW","Raw","SIMABL_046","planned"
"SIM06","C1_OUTLIER","Outlier","SIMABL_047","planned"
"SIM06","C2_SELECTIVE_DRIFT","+ selective drift","SIMABL_048","planned"
"SIM06","C3_SELECTIVE_BATCH","+ selective batch","SIMABL_049","planned"
"SIM06","C4_FULL_FIXED","+ PQN","SIMABL_050","planned"
"SIM06","G_SS","selective/selective","SIMABL_051","planned"
"SIM06","G_AS","all/selective","SIMABL_052","planned"
"SIM06","G_SA","selective/all","SIMABL_053","planned"
"SIM06","G_AA","all/all","SIMABL_054","planned"
"SIM07","C0_RAW","Raw","SIMABL_055","planned"
"SIM07","C1_OUTLIER","Outlier","SIMABL_056","planned"
"SIM07","C2_SELECTIVE_DRIFT","+ selective drift","SIMABL_057","planned"
"SIM07","C3_SELECTIVE_BATCH","+ selective batch","SIMABL_058","planned"
"SIM07","C4_FULL_FIXED","+ PQN","SIMABL_059","planned"
"SIM07","G_SS","selective/selective","SIMABL_060","planned"
"SIM07","G_AS","all/selective","SIMABL_061","planned"
"SIM07","G_SA","selective/all","SIMABL_062","planned"
"SIM07","G_AA","all/all","SIMABL_063","planned"
"SIM08","C0_RAW","Raw","SIMABL_064","planned"
"SIM08","C1_OUTLIER","Outlier","SIMABL_065","planned"
"SIM08","C2_SELECTIVE_DRIFT","+ selective drift","SIMABL_066","planned"
"SIM08","C3_SELECTIVE_BATCH","+ selective batch","SIMABL_067","planned"
"SIM08","C4_FULL_FIXED","+ PQN","SIMABL_068","planned"
"SIM08","G_SS","selective/selective","SIMABL_069","planned"
"SIM08","G_AS","all/selective","SIMABL_070","planned"
"SIM08","G_SA","selective/all","SIMABL_071","planned"
"SIM08","G_AA","all/all","SIMABL_072","planned"
"SIM09","C0_RAW","Raw","SIMABL_073","planned"
"SIM09","C1_OUTLIER","Outlier","SIMABL_074","planned"
"SIM09","C2_SELECTIVE_DRIFT","+ selective drift","SIMABL_075","planned"
"SIM09","C3_SELECTIVE_BATCH","+ selective batch","SIMABL_076","planned"
"SIM09","C4_FULL_FIXED","+ PQN","SIMABL_077","planned"
"SIM09","G_SS","selective/selective","SIMABL_078","planned"
"SIM09","G_AS","all/selective","SIMABL_079","planned"
"SIM09","G_SA","selective/all","SIMABL_080","planned"
"SIM09","G_AA","all/all","SIMABL_081","planned"
"SIM10","C0_RAW","Raw","SIMABL_082","planned"
"SIM10","C1_OUTLIER","Outlier","SIMABL_083","planned"
"SIM10","C2_SELECTIVE_DRIFT","+ selective drift","SIMABL_084","planned"
"SIM10","C3_SELECTIVE_BATCH","+ selective batch","SIMABL_085","planned"
"SIM10","C4_FULL_FIXED","+ PQN","SIMABL_086","planned"
"SIM10","G_SS","selective/selective","SIMABL_087","planned"
"SIM10","G_AS","all/selective","SIMABL_088","planned"
"SIM10","G_SA","selective/all","SIMABL_089","planned"
"SIM10","G_AA","all/all","SIMABL_090","planned"
