"workstream","seed_id","display_realization","component","seed","prespecified_before_pilot"
"canonical_repeated_simulation","SIM01",TRUE,"clean_truth",202608241,TRUE
"canonical_repeated_simulation","SIM01",TRUE,"batch_assignment",202608251,TRUE
"canonical_repeated_simulation","SIM01",TRUE,"batch_magnitude",202608252,TRUE
"canonical_repeated_simulation","SIM01",TRUE,"drift_assignment",202608261,TRUE
"canonical_repeated_simulation","SIM01",TRUE,"drift_morphology",202608262,TRUE
"canonical_repeated_simulation","SIM01",TRUE,"drift_shape",202608263,TRUE
"canonical_repeated_simulation","SIM01",TRUE,"hidden_reference",202608271,TRUE
"canonical_repeated_simulation","SIM01",TRUE,"phenotype_features",202608281,TRUE
"canonical_repeated_simulation","SIM01",TRUE,"phenotype_allocation",202608282,TRUE
"canonical_repeated_simulation","SIM01",TRUE,"bootstrap",202608291,TRUE
"canonical_repeated_simulation","SIM01",TRUE,"method_rng::Raw",202608331,TRUE
"canonical_repeated_simulation","SIM01",TRUE,"method_rng::ComBat",202608332,TRUE
"canonical_repeated_simulation","SIM01",TRUE,"method_rng::QC-RLSC",202608333,TRUE
"canonical_repeated_simulation","SIM01",TRUE,"method_rng::QC-RFSC",202608334,TRUE
"canonical_repeated_simulation","SIM01",TRUE,"method_rng::TIGER",202608335,TRUE
"canonical_repeated_simulation","SIM01",TRUE,"method_rng::SERRF",202608336,TRUE
"canonical_repeated_simulation","SIM01",TRUE,"method_rng::WINN auto (QC)",202608337,TRUE
"canonical_repeated_simulation","SIM01",TRUE,"method_rng::WINN auto-batch (QC)",202608338,TRUE
"canonical_repeated_simulation","SIM01",TRUE,"method_rng::WINN fixed (QC identities withheld)",202608339,TRUE
"canonical_repeated_simulation","SIM02",FALSE,"clean_truth",202609241,TRUE
"canonical_repeated_simulation","SIM02",FALSE,"batch_assignment",202609251,TRUE
"canonical_repeated_simulation","SIM02",FALSE,"batch_magnitude",202609252,TRUE
"canonical_repeated_simulation","SIM02",FALSE,"drift_assignment",202609261,TRUE
"canonical_repeated_simulation","SIM02",FALSE,"drift_morphology",202609262,TRUE
"canonical_repeated_simulation","SIM02",FALSE,"drift_shape",202609263,TRUE
"canonical_repeated_simulation","SIM02",FALSE,"hidden_reference",202609271,TRUE
"canonical_repeated_simulation","SIM02",FALSE,"phenotype_features",202609281,TRUE
"canonical_repeated_simulation","SIM02",FALSE,"phenotype_allocation",202609282,TRUE
"canonical_repeated_simulation","SIM02",FALSE,"bootstrap",202609291,TRUE
"canonical_repeated_simulation","SIM02",FALSE,"method_rng::Raw",202609331,TRUE
"canonical_repeated_simulation","SIM02",FALSE,"method_rng::ComBat",202609332,TRUE
"canonical_repeated_simulation","SIM02",FALSE,"method_rng::QC-RLSC",202609333,TRUE
"canonical_repeated_simulation","SIM02",FALSE,"method_rng::QC-RFSC",202609334,TRUE
"canonical_repeated_simulation","SIM02",FALSE,"method_rng::TIGER",202609335,TRUE
"canonical_repeated_simulation","SIM02",FALSE,"method_rng::SERRF",202609336,TRUE
"canonical_repeated_simulation","SIM02",FALSE,"method_rng::WINN auto (QC)",202609337,TRUE
"canonical_repeated_simulation","SIM02",FALSE,"method_rng::WINN auto-batch (QC)",202609338,TRUE
"canonical_repeated_simulation","SIM02",FALSE,"method_rng::WINN fixed (QC identities withheld)",202609339,TRUE
"canonical_repeated_simulation","SIM03",FALSE,"clean_truth",202610241,TRUE
"canonical_repeated_simulation","SIM03",FALSE,"batch_assignment",202610251,TRUE
"canonical_repeated_simulation","SIM03",FALSE,"batch_magnitude",202610252,TRUE
"canonical_repeated_simulation","SIM03",FALSE,"drift_assignment",202610261,TRUE
"canonical_repeated_simulation","SIM03",FALSE,"drift_morphology",202610262,TRUE
"canonical_repeated_simulation","SIM03",FALSE,"drift_shape",202610263,TRUE
"canonical_repeated_simulation","SIM03",FALSE,"hidden_reference",202610271,TRUE
"canonical_repeated_simulation","SIM03",FALSE,"phenotype_features",202610281,TRUE
"canonical_repeated_simulation","SIM03",FALSE,"phenotype_allocation",202610282,TRUE
"canonical_repeated_simulation","SIM03",FALSE,"bootstrap",202610291,TRUE
"canonical_repeated_simulation","SIM03",FALSE,"method_rng::Raw",202610331,TRUE
"canonical_repeated_simulation","SIM03",FALSE,"method_rng::ComBat",202610332,TRUE
