"seed_id","method_id","method","method_order","task_id","decision","output_dir","status","public_reproduction_decision"
"SIM01","raw","Raw",1,"SIM_001","reuse_exact","results/simulation_seeds/SIM01/raw","planned","rerun_required"
"SIM01","combat","ComBat",2,"SIM_002","reuse_exact","results/simulation_seeds/SIM01/combat","planned","rerun_required"
"SIM01","qc_rlsc","QC-RLSC",3,"SIM_003","reuse_exact","results/simulation_seeds/SIM01/qc_rlsc","planned","rerun_required"
"SIM01","qc_rfsc","QC-RFSC",4,"SIM_004","reuse_exact","results/simulation_seeds/SIM01/qc_rfsc","planned","rerun_required"
"SIM01","tiger","TIGER",5,"SIM_005","rerun_required","results/simulation_seeds/SIM01/tiger","planned","rerun_required"
"SIM01","serrf","SERRF",6,"SIM_006","reuse_exact","results/simulation_seeds/SIM01/serrf","planned","rerun_required"
"SIM01","winn_auto_qc","WiNN auto (QC)",7,"SIM_007","rerun_required","results/simulation_seeds/SIM01/winn_auto_qc","planned","rerun_required"
"SIM01","winn_auto_batch_qc","WiNN auto-batch (QC)",8,"SIM_008","rerun_required","results/simulation_seeds/SIM01/winn_auto_batch_qc","planned","rerun_required"
"SIM01","winn_fixed_no_qc","WiNN fixed default (no QC)",9,"SIM_009","rerun_required","results/simulation_seeds/SIM01/winn_fixed_no_qc","planned","rerun_required"
"SIM02","raw","Raw",1,"SIM_010","reuse_exact","results/simulation_seeds/SIM02/raw","planned","rerun_required"
"SIM02","combat","ComBat",2,"SIM_011","reuse_exact","results/simulation_seeds/SIM02/combat","planned","rerun_required"
"SIM02","qc_rlsc","QC-RLSC",3,"SIM_012","reuse_exact","results/simulation_seeds/SIM02/qc_rlsc","planned","rerun_required"
"SIM02","qc_rfsc","QC-RFSC",4,"SIM_013","reuse_exact","results/simulation_seeds/SIM02/qc_rfsc","planned","rerun_required"
"SIM02","tiger","TIGER",5,"SIM_014","rerun_required","results/simulation_seeds/SIM02/tiger","planned","rerun_required"
"SIM02","serrf","SERRF",6,"SIM_015","reuse_exact","results/simulation_seeds/SIM02/serrf","planned","rerun_required"
"SIM02","winn_auto_qc","WiNN auto (QC)",7,"SIM_016","rerun_required","results/simulation_seeds/SIM02/winn_auto_qc","planned","rerun_required"
"SIM02","winn_auto_batch_qc","WiNN auto-batch (QC)",8,"SIM_017","rerun_required","results/simulation_seeds/SIM02/winn_auto_batch_qc","planned","rerun_required"
"SIM02","winn_fixed_no_qc","WiNN fixed default (no QC)",9,"SIM_018","rerun_required","results/simulation_seeds/SIM02/winn_fixed_no_qc","planned","rerun_required"
"SIM03","raw","Raw",1,"SIM_019","reuse_exact","results/simulation_seeds/SIM03/raw","planned","rerun_required"
"SIM03","combat","ComBat",2,"SIM_020","reuse_exact","results/simulation_seeds/SIM03/combat","planned","rerun_required"
"SIM03","qc_rlsc","QC-RLSC",3,"SIM_021","reuse_exact","results/simulation_seeds/SIM03/qc_rlsc","planned","rerun_required"
"SIM03","qc_rfsc","QC-RFSC",4,"SIM_022","reuse_exact","results/simulation_seeds/SIM03/qc_rfsc","planned","rerun_required"
"SIM03","tiger","TIGER",5,"SIM_023","rerun_required","results/simulation_seeds/SIM03/tiger","planned","rerun_required"
