"candidate_id","par_prior","span","ntree","coCV","Frule","use_injection","jitter_eps","test","spline_method","acorr_fdr","anova_fdr","normalization","scale_by_batch","pelt_penalty","params","dataset","method","selection_class"
1,TRUE,,,,,,,"","",,,"",,,"par_prior=TRUE","MTBLS79","ComBat","explicit_grid"
2,FALSE,,,,,,,"","",,,"",,,"par_prior=FALSE","MTBLS79","ComBat","explicit_grid"
1,,0.3,,,,,,"","",,,"",,,"span=0.3","MTBLS79","QC-RLSC","explicit_grid"
2,,0.5,,,,,,"","",,,"",,,"span=0.5","MTBLS79","QC-RLSC","explicit_grid"
3,,0.7,,,,,,"","",,,"",,,"span=0.7","MTBLS79","QC-RLSC","explicit_grid"
4,,0.9,,,,,,"","",,,"",,,"span=0.9","MTBLS79","QC-RLSC","explicit_grid"
1,,,200,20,0.8,,,"","",,,"",,,"ntree=200; coCV=20; Frule=0.8","MTBLS79","QC-RFSC","explicit_grid"
2,,,200,30,0.8,,,"","",,,"",,,"ntree=200; coCV=30; Frule=0.8","MTBLS79","QC-RFSC","explicit_grid"
3,,,500,20,0.8,,,"","",,,"",,,"ntree=500; coCV=20; Frule=0.8","MTBLS79","QC-RFSC","explicit_grid"
4,,,500,30,0.8,,,"","",,,"",,,"ntree=500; coCV=30; Frule=0.8","MTBLS79","QC-RFSC","explicit_grid"
1,,,,,,,0,"","",,,"",,,"jitter_eps=0","MTBLS79","SERRF","explicit_grid"
2,,,,,,,1e-06,"","",,,"",,,"jitter_eps=1e-06","MTBLS79","SERRF","explicit_grid"
3,,,,,,,1e-05,"","",,,"",,,"jitter_eps=1e-05","MTBLS79","SERRF","explicit_grid"
1,TRUE,,,,,,,"","",,,"",,,"par_prior=TRUE","Clinical FIA-MS (pair-aware)","ComBat","explicit_grid"
2,FALSE,,,,,,,"","",,,"",,,"par_prior=FALSE","Clinical FIA-MS (pair-aware)","ComBat","explicit_grid"
1,,0.3,,,,,,"","",,,"",,,"span=0.3","Clinical FIA-MS (pair-aware)","QC-RLSC","explicit_grid"
2,,0.5,,,,,,"","",,,"",,,"span=0.5","Clinical FIA-MS (pair-aware)","QC-RLSC","explicit_grid"
3,,0.7,,,,,,"","",,,"",,,"span=0.7","Clinical FIA-MS (pair-aware)","QC-RLSC","explicit_grid"
4,,0.9,,,,,,"","",,,"",,,"span=0.9","Clinical FIA-MS (pair-aware)","QC-RLSC","explicit_grid"
1,,,200,20,0.8,,,"","",,,"",,,"ntree=200; coCV=20; Frule=0.8","Clinical FIA-MS (pair-aware)","QC-RFSC","explicit_grid"
2,,,200,30,0.8,,,"","",,,"",,,"ntree=200; coCV=30; Frule=0.8","Clinical FIA-MS (pair-aware)","QC-RFSC","explicit_grid"
3,,,500,20,0.8,,,"","",,,"",,,"ntree=500; coCV=20; Frule=0.8","Clinical FIA-MS (pair-aware)","QC-RFSC","explicit_grid"
4,,,500,30,0.8,,,"","",,,"",,,"ntree=500; coCV=30; Frule=0.8","Clinical FIA-MS (pair-aware)","QC-RFSC","explicit_grid"
1,,,,,,,0,"","",,,"",,,"jitter_eps=0","Clinical FIA-MS (pair-aware)","SERRF","explicit_grid"
2,,,,,,,1e-06,"","",,,"",,,"jitter_eps=1e-06","Clinical FIA-MS (pair-aware)","SERRF","explicit_grid"
3,,,,,,,1e-05,"","",,,"",,,"jitter_eps=1e-05","Clinical FIA-MS (pair-aware)","SERRF","explicit_grid"
1,TRUE,,,,,,,"","",,,"",,,"par_prior=TRUE","BatchCorr Set 1","ComBat","explicit_grid"
2,FALSE,,,,,,,"","",,,"",,,"par_prior=FALSE","BatchCorr Set 1","ComBat","explicit_grid"
1,,,,,,,,"","",,,"",,,"dataset_specific_fixed; log1p subtractive per-batch LOESS; span=1; degree=1; log-scale batch shift; ID-preserving","BatchCorr Set 1","QC-RLSC","fixed_sparse_qc_safeguard"
1,,,200,20,0.8,,,"","",,,"",,,"ntree=200; coCV=20; Frule=0.8","BatchCorr Set 1","QC-RFSC","explicit_grid"
2,,,500,20,0.8,,,"","",,,"",,,"ntree=500; coCV=20; Frule=0.8","BatchCorr Set 1","QC-RFSC","explicit_grid"
3,,,200,30,0.8,,,"","",,,"",,,"ntree=200; coCV=30; Frule=0.8","BatchCorr Set 1","QC-RFSC","explicit_grid"
4,,,500,30,0.8,,,"","",,,"",,,"ntree=500; coCV=30; Frule=0.8","BatchCorr Set 1","QC-RFSC","explicit_grid"
1,,,,,,,0,"","",,,"",,,"jitter_eps=0","BatchCorr Set 1","SERRF","explicit_grid"
2,,,,,,,1e-06,"","",,,"",,,"jitter_eps=1e-06","BatchCorr Set 1","SERRF","explicit_grid"
3,,,,,,,1e-05,"","",,,"",,,"jitter_eps=1e-05","BatchCorr Set 1","SERRF","explicit_grid"
1,,,,,,,,"","",,,"",,,"par_prior=TRUE (fixed published/default setting)","Sacurine","ComBat","fixed"
1,,0.3,,,,,,"","",,,"",,,"span=0.3","Sacurine","QC-RLSC","explicit_grid"
2,,0.5,,,,,,"","",,,"",,,"span=0.5","Sacurine","QC-RLSC","explicit_grid"
3,,0.7,,,,,,"","",,,"",,,"span=0.7","Sacurine","QC-RLSC","explicit_grid"
4,,0.9,,,,,,"","",,,"",,,"span=0.9","Sacurine","QC-RLSC","explicit_grid"
1,,,200,20,0.8,,,"","",,,"",,,"ntree=200; coCV=20; Frule=0.8","Sacurine","QC-RFSC","explicit_grid"
2,,,500,20,0.8,,,"","",,,"",,,"ntree=500; coCV=20; Frule=0.8","Sacurine","QC-RFSC","explicit_grid"
3,,,200,30,0.8,,,"","",,,"",,,"ntree=200; coCV=30; Frule=0.8","Sacurine","QC-RFSC","explicit_grid"
