"dataset_key","dataset","table_id","metric","direction","impact_definition","stage","favorable_impact"
"simulation","Simulation","heldout_qc_cv","heldout_qc_cv_mean","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Outlier_shrinkage",2.9709103854638
"simulation","Simulation","heldout_qc_cv","heldout_qc_cv_mean","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Selective_drift",-35.2947026185697
"simulation","Simulation","heldout_qc_cv","heldout_qc_cv_mean","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Selective_batch",-44.060995403707
"simulation","Simulation","heldout_qc_cv","heldout_qc_cv_mean","lower","Positive values favor the newly added stage; negative values indicate deterioration.","PQN",-52.8272881888443
"mtbls79","MTBLS79","heldout_qc_cv","heldout_qc_cv_mean","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Outlier_shrinkage",1.1707171687163
"mtbls79","MTBLS79","heldout_qc_cv","heldout_qc_cv_mean","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Selective_drift",-26.3853828322579
"mtbls79","MTBLS79","heldout_qc_cv","heldout_qc_cv_mean","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Selective_batch",-43.5439080635879
"mtbls79","MTBLS79","heldout_qc_cv","heldout_qc_cv_mean","lower","Positive values favor the newly added stage; negative values indicate deterioration.","PQN",-60.2224456871475
"clinical_fiams","Clinical FIA-MS","heldout_qc_cv","heldout_qc_cv_mean","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Outlier_shrinkage",2.3726620506482
"clinical_fiams","Clinical FIA-MS","heldout_qc_cv","heldout_qc_cv_mean","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Selective_drift",-12.362759456029
"clinical_fiams","Clinical FIA-MS","heldout_qc_cv","heldout_qc_cv_mean","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Selective_batch",-25.3338196048314
"clinical_fiams","Clinical FIA-MS","heldout_qc_cv","heldout_qc_cv_mean","lower","Positive values favor the newly added stage; negative values indicate deterioration.","PQN",-37.7382288149193
"batchcorr_set1","BatchCorr Set 1","heldout_qc_cv","heldout_qc_cv_mean","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Outlier_shrinkage",6.81205814443589
"batchcorr_set1","BatchCorr Set 1","heldout_qc_cv","heldout_qc_cv_mean","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Selective_drift",-51.9374160410669
"batchcorr_set1","BatchCorr Set 1","heldout_qc_cv","heldout_qc_cv_mean","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Selective_batch",-79.2694831390892
"batchcorr_set1","BatchCorr Set 1","heldout_qc_cv","heldout_qc_cv_mean","lower","Positive values favor the newly added stage; negative values indicate deterioration.","PQN",-105.93475922022
"sacurine","Sacurine","heldout_qc_cv","heldout_qc_cv_mean","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Outlier_shrinkage",0.790437528321402
"sacurine","Sacurine","heldout_qc_cv","heldout_qc_cv_mean","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Selective_drift",-29.7853817344965
"sacurine","Sacurine","heldout_qc_cv","heldout_qc_cv_mean","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Selective_batch",-52.9790097147743
"sacurine","Sacurine","heldout_qc_cv","heldout_qc_cv_mean","lower","Positive values favor the newly added stage; negative values indicate deterioration.","PQN",-75.4009229495753
"waveica","WaveICA","heldout_qc_cv","heldout_qc_cv_mean","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Outlier_shrinkage",3.995305960693
"waveica","WaveICA","heldout_qc_cv","heldout_qc_cv_mean","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Selective_drift",-43.8017990846446
"waveica","WaveICA","heldout_qc_cv","heldout_qc_cv_mean","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Selective_batch",-82.1784242324932
"waveica","WaveICA","heldout_qc_cv","heldout_qc_cv_mean","lower","Positive values favor the newly added stage; negative values indicate deterioration.","PQN",-120.478768282375
"simulation","Simulation","gam_deviance","residual_run_order_gam_mean_deviance","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Outlier_shrinkage",-0.000134966232045008
"simulation","Simulation","gam_deviance","residual_run_order_gam_mean_deviance","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Selective_drift",-0.020381512914243
"simulation","Simulation","gam_deviance","residual_run_order_gam_mean_deviance","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Selective_batch",-0.0406279895082077
"simulation","Simulation","gam_deviance","residual_run_order_gam_mean_deviance","lower","Positive values favor the newly added stage; negative values indicate deterioration.","PQN",-0.0608873499184617
"mtbls79","MTBLS79","gam_deviance","residual_run_order_gam_mean_deviance","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Outlier_shrinkage",0.000998655965972983
"mtbls79","MTBLS79","gam_deviance","residual_run_order_gam_mean_deviance","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Selective_drift",-0.138591085745756
"mtbls79","MTBLS79","gam_deviance","residual_run_order_gam_mean_deviance","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Selective_batch",-0.278180827457485
"mtbls79","MTBLS79","gam_deviance","residual_run_order_gam_mean_deviance","lower","Positive values favor the newly added stage; negative values indicate deterioration.","PQN",-0.418259524736373
"clinical_fiams","Clinical FIA-MS","gam_deviance","residual_run_order_gam_mean_deviance","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Outlier_shrinkage",-0.001823572864857
"clinical_fiams","Clinical FIA-MS","gam_deviance","residual_run_order_gam_mean_deviance","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Selective_drift",-0.0738931528429665
"clinical_fiams","Clinical FIA-MS","gam_deviance","residual_run_order_gam_mean_deviance","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Selective_batch",-0.145962732821076
"clinical_fiams","Clinical FIA-MS","gam_deviance","residual_run_order_gam_mean_deviance","lower","Positive values favor the newly added stage; negative values indicate deterioration.","PQN",-0.218731379953373
"batchcorr_set1","BatchCorr Set 1","gam_deviance","residual_run_order_gam_mean_deviance","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Outlier_shrinkage",0.002556774199041
"batchcorr_set1","BatchCorr Set 1","gam_deviance","residual_run_order_gam_mean_deviance","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Selective_drift",-0.0437627739081905
"batchcorr_set1","BatchCorr Set 1","gam_deviance","residual_run_order_gam_mean_deviance","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Selective_batch",-0.0900823220154219
"batchcorr_set1","BatchCorr Set 1","gam_deviance","residual_run_order_gam_mean_deviance","lower","Positive values favor the newly added stage; negative values indicate deterioration.","PQN",-0.133855287217971
"sacurine","Sacurine","gam_deviance","residual_run_order_gam_mean_deviance","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Outlier_shrinkage",-0.000532675088137105
"sacurine","Sacurine","gam_deviance","residual_run_order_gam_mean_deviance","lower","Positive values favor the newly added stage; negative values indicate deterioration.","Selective_drift",-0.0322667866692489
