"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","dataset","metric_label"
"batch_weighted_pc_r2_categorical",0.965647338615417,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","raw","Raw","Simulation","Batch weighted-PC R²"
"heldout_qc_cv_mean",44.2100431097472,"lower",1000,"percent","","simulation","raw","Raw","Simulation","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.2482,"lower",5000,"proportion","","simulation","raw","Raw","Simulation","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.12764961730634,"lower",5000,"proportion","","simulation","raw","Raw","Simulation","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.000103519147488483,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","combat","ComBat","Simulation","Batch weighted-PC R²"
"heldout_qc_cv_mean",12.404955532938,"lower",1000,"percent","","simulation","combat","ComBat","Simulation","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.2482,"lower",5000,"proportion","","simulation","combat","ComBat","Simulation","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.127649520286793,"lower",5000,"proportion","","simulation","combat","ComBat","Simulation","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",9.55201604490419e-05,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","qc_rlsc","QC-RLSC","Simulation","Batch weighted-PC R²"
"heldout_qc_cv_mean",11.3390164195857,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","Simulation","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.0674,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","Simulation","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.0533851989108539,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","Simulation","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.144040149745443,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","qc_rfsc","QC-RFSC","Simulation","Batch weighted-PC R²"
"heldout_qc_cv_mean",14.7280131359941,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","Simulation","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.2126,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","Simulation","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.131085396618962,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","Simulation","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.0856924649544889,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","tiger","TIGER","Simulation","Batch weighted-PC R²"
"heldout_qc_cv_mean",9.77314523581495,"lower",1000,"percent","","simulation","tiger","TIGER","Simulation","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.1754,"lower",5000,"proportion","","simulation","tiger","TIGER","Simulation","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.0852308695427575,"lower",5000,"proportion","","simulation","tiger","TIGER","Simulation","Residual GAM deviance"
