"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","split_id","dataset","metric_label"
"heldout_qc_cv_mean",44.4448135526709,"lower",1000,"percent","","simulation","raw","Raw","SPLIT01","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.12764961730634,"lower",5000,"proportion","","simulation","raw","Raw","SPLIT01","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",12.3136810489198,"lower",1000,"percent","","simulation","combat","ComBat","SPLIT01","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.127649520286793,"lower",5000,"proportion","","simulation","combat","ComBat","SPLIT01","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",10.6011497849603,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SPLIT01","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0512997079770431,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SPLIT01","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",11.9161469089622,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","SPLIT01","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.129414905445359,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","SPLIT01","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",8.71289849955926,"lower",1000,"percent","","simulation","tiger","TIGER","SPLIT01","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0837037027671771,"lower",5000,"proportion","","simulation","tiger","TIGER","SPLIT01","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",12.1819624962419,"lower",1000,"percent","","simulation","serrf","SERRF","SPLIT01","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0980529296863076,"lower",5000,"proportion","","simulation","serrf","SERRF","SPLIT01","Simulation","Residual GAM deviance"
