"dataset_key","dataset","method_id","method","metric","value","direction","denominator","units","metric_label","gate"
"simulation","Simulation","G_SS","selective/selective","heldout_qc_cv_mean",8.76629278513728,"lower",1000,"percent","Held-out QC CV (%)","Selective/Selective"
"simulation","Simulation","G_SS","selective/selective","residual_run_order_gam_mean_deviance",0.020259360410254,"lower",5000,"proportion","Residual GAM deviance","Selective/Selective"
"simulation","Simulation","G_SS","selective/selective","batch_weighted_pc_r2_categorical",0.000984578035653711,"lower",450,"weighted R-squared","Batch weighted-PC R²","Selective/Selective"
"simulation","Simulation","G_SS","selective/selective","truth_metabolite_profile_icc_mean",0.922101988056287,"higher",1000,"ICC(A,1)","Truth metabolite ICC","Selective/Selective"
"simulation","Simulation","G_SS","selective/selective","truth_sample_profile_pearson_mean",0.925722367961271,"higher",450,"correlation","Truth sample Pearson","Selective/Selective"
"simulation","Simulation","G_AS","all/selective","heldout_qc_cv_mean",10.7950921650205,"lower",1000,"percent","Held-out QC CV (%)","All/Selective"
"simulation","Simulation","G_AS","all/selective","residual_run_order_gam_mean_deviance",0.000773516898207875,"lower",5000,"proportion","Residual GAM deviance","All/Selective"
"simulation","Simulation","G_AS","all/selective","batch_weighted_pc_r2_categorical",0.000850718286039682,"lower",450,"weighted R-squared","Batch weighted-PC R²","All/Selective"
"simulation","Simulation","G_AS","all/selective","truth_metabolite_profile_icc_mean",0.910460210285255,"higher",1000,"ICC(A,1)","Truth metabolite ICC","All/Selective"
"simulation","Simulation","G_AS","all/selective","truth_sample_profile_pearson_mean",0.914863811819088,"higher",450,"correlation","Truth sample Pearson","All/Selective"
"simulation","Simulation","G_SA","selective/all","heldout_qc_cv_mean",9.10860426114912,"lower",1000,"percent","Held-out QC CV (%)","Selective/All"
"simulation","Simulation","G_SA","selective/all","residual_run_order_gam_mean_deviance",0.0202504886317659,"lower",5000,"proportion","Residual GAM deviance","Selective/All"
"simulation","Simulation","G_SA","selective/all","batch_weighted_pc_r2_categorical",9.15272892016977e-05,"lower",450,"weighted R-squared","Batch weighted-PC R²","Selective/All"
"simulation","Simulation","G_SA","selective/all","truth_metabolite_profile_icc_mean",0.921230243391027,"higher",1000,"ICC(A,1)","Truth metabolite ICC","Selective/All"
"simulation","Simulation","G_SA","selective/all","truth_sample_profile_pearson_mean",0.924797943507282,"higher",450,"correlation","Truth sample Pearson","Selective/All"
"simulation","Simulation","G_AA","all/all","heldout_qc_cv_mean",10.9169677941253,"lower",1000,"percent","Held-out QC CV (%)","All/All"
"simulation","Simulation","G_AA","all/all","residual_run_order_gam_mean_deviance",0.000773314503840401,"lower",5000,"proportion","Residual GAM deviance","All/All"
"simulation","Simulation","G_AA","all/all","batch_weighted_pc_r2_categorical",0.000105489848278708,"lower",450,"weighted R-squared","Batch weighted-PC R²","All/All"
"simulation","Simulation","G_AA","all/all","truth_metabolite_profile_icc_mean",0.909547858318861,"higher",1000,"ICC(A,1)","Truth metabolite ICC","All/All"
"simulation","Simulation","G_AA","all/all","truth_sample_profile_pearson_mean",0.913957044306018,"higher",450,"correlation","Truth sample Pearson","All/All"
"mtbls79","MTBLS79","G_SS","selective/selective","heldout_qc_cv_mean",16.6785376235596,"lower",2488,"percent","Held-out QC CV (%)","Selective/Selective"
"mtbls79","MTBLS79","G_SS","selective/selective","residual_run_order_gam_mean_deviance",0.140078697278888,"lower",19904,"proportion","Residual GAM deviance","Selective/Selective"
"mtbls79","MTBLS79","G_SS","selective/selective","batch_weighted_pc_r2_categorical",0.0108480104370861,"lower",134,"weighted R-squared","Batch weighted-PC R²","Selective/Selective"
"mtbls79","MTBLS79","G_SS","selective/selective","metabolite_icc_a1_median",0.674414477673406,"higher",2488,"ICC(A,1)","Metabolite ICC","Selective/Selective"
"mtbls79","MTBLS79","G_SS","selective/selective","sample_replicate_pearson_median",0.975436813944675,"higher",20,"correlation","Sample Pearson","Selective/Selective"
"mtbls79","MTBLS79","G_AS","all/selective","heldout_qc_cv_mean",19.8303472738463,"lower",2488,"percent","Held-out QC CV (%)","All/Selective"
"mtbls79","MTBLS79","G_AS","all/selective","residual_run_order_gam_mean_deviance",0.0212930395917055,"lower",19904,"proportion","Residual GAM deviance","All/Selective"
"mtbls79","MTBLS79","G_AS","all/selective","batch_weighted_pc_r2_categorical",0.00638791838609736,"lower",134,"weighted R-squared","Batch weighted-PC R²","All/Selective"
"mtbls79","MTBLS79","G_AS","all/selective","metabolite_icc_a1_median",0.640185554278018,"higher",2488,"ICC(A,1)","Metabolite ICC","All/Selective"
"mtbls79","MTBLS79","G_AS","all/selective","sample_replicate_pearson_median",0.981099298652759,"higher",20,"correlation","Sample Pearson","All/Selective"
"mtbls79","MTBLS79","G_SA","selective/all","heldout_qc_cv_mean",15.9700072181085,"lower",2488,"percent","Held-out QC CV (%)","Selective/All"
"mtbls79","MTBLS79","G_SA","selective/all","residual_run_order_gam_mean_deviance",0.139901896201484,"lower",19904,"proportion","Residual GAM deviance","Selective/All"
"mtbls79","MTBLS79","G_SA","selective/all","batch_weighted_pc_r2_categorical",0.0106558279333553,"lower",134,"weighted R-squared","Batch weighted-PC R²","Selective/All"
"mtbls79","MTBLS79","G_SA","selective/all","metabolite_icc_a1_median",0.681807145737552,"higher",2488,"ICC(A,1)","Metabolite ICC","Selective/All"
"mtbls79","MTBLS79","G_SA","selective/all","sample_replicate_pearson_median",0.976760590417258,"higher",20,"correlation","Sample Pearson","Selective/All"
"mtbls79","MTBLS79","G_AA","all/all","heldout_qc_cv_mean",19.3110113171568,"lower",2488,"percent","Held-out QC CV (%)","All/All"
"mtbls79","MTBLS79","G_AA","all/all","residual_run_order_gam_mean_deviance",0.0213675974302673,"lower",19904,"proportion","Residual GAM deviance","All/All"
"mtbls79","MTBLS79","G_AA","all/all","batch_weighted_pc_r2_categorical",0.00571273868069983,"lower",134,"weighted R-squared","Batch weighted-PC R²","All/All"
"mtbls79","MTBLS79","G_AA","all/all","metabolite_icc_a1_median",0.641333529494254,"higher",2488,"ICC(A,1)","Metabolite ICC","All/All"
"mtbls79","MTBLS79","G_AA","all/all","sample_replicate_pearson_median",0.982157563732513,"higher",20,"correlation","Sample Pearson","All/All"
"clinical_fiams","Clinical FIA-MS","G_SS","selective/selective","heldout_qc_cv_mean",12.4044092100879,"lower",1594,"percent","Held-out QC CV (%)","Selective/Selective"
