"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","seed_id","metric_label"
"heldout_qc_cv_mean",44.2100431097472,"lower",1000,"percent","","simulation","raw","Raw","SIM01","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.12764961730634,"lower",5000,"proportion","","simulation","raw","Raw","SIM01","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.965647338615417,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","raw","Raw","SIM01","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.586183758689398,"higher",1000,"ICC(A,1)","","simulation","raw","Raw","SIM01","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.521842186444926,"higher",450,"correlation","","simulation","raw","Raw","SIM01","Truth sample Pearson"
"heldout_qc_cv_mean",12.404955532938,"lower",1000,"percent","","simulation","combat","ComBat","SIM01","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.127649520286793,"lower",5000,"proportion","","simulation","combat","ComBat","SIM01","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.000103519147488483,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","combat","ComBat","SIM01","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.879386831580911,"higher",1000,"ICC(A,1)","","simulation","combat","ComBat","SIM01","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.881066706839948,"higher",450,"correlation","","simulation","combat","ComBat","SIM01","Truth sample Pearson"
"heldout_qc_cv_mean",11.3390164195857,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SIM01","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0533851989108539,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SIM01","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",9.55201604490419e-05,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","qc_rlsc","QC-RLSC","SIM01","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.905483269655236,"higher",1000,"ICC(A,1)","","simulation","qc_rlsc","QC-RLSC","SIM01","Truth metabolite ICC"
