"task_id","dataset_key","method_id","method","reuse_decision","seed","execution_runtime_sec","reported_method_runtime_sec","runtime_provenance","wall_sec","n_features","n_samples","warning_lines","error_lines","input_object_sha256","output_object_sha256","matrix_file_sha256","conditions_log_sha256","package_version","package_source_sha256","started_at","completed_at"
"PRIMARY_001","simulation","raw","Raw","reuse_exact",2026072601,0.098,0,"no correction",1.3021,1000,500,0,0,"c26a82004d6084e7f28595edacd63ad688e7ff3f8735569e69149e228a3bd295","c26a82004d6084e7f28595edacd63ad688e7ff3f8735569e69149e228a3bd295","b7f8874f4c580d39315a7e082d12bfe4da24f4120e655bcbb00a6730b7d552f1","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:49:26+0200","2026-07-26T01:49:27+0200"
"PRIMARY_002","simulation","combat","ComBat","reuse_exact",2026072602,0.109,,"not remeasured; cache retrieval time excluded",11.2812,1000,500,0,0,"c26a82004d6084e7f28595edacd63ad688e7ff3f8735569e69149e228a3bd295","faa1dd88299ceadbd9154729bff4c17c60df1138c12256ee825920b7b29c48c1","ad1f21c006ff4d49f05094a604e14abc082aeab842bb70f51e576934c909f211","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T06:14:02+0200","2026-07-26T06:14:14+0200"
"PRIMARY_003","simulation","qc_rlsc","QC-RLSC","reuse_exact",2026072603,0.071,,"not remeasured; cache retrieval time excluded",0.8546,1000,500,0,0,"c26a82004d6084e7f28595edacd63ad688e7ff3f8735569e69149e228a3bd295","771a19ad0bbbb6a360ac995e5def6be9e998e6949de3ae6b05493cc10fa41bf3","84a5cd3d1a9c35154d07b203b631ff35a420c62dd4cade546e704a47c326b3f9","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:55:59+0200","2026-07-26T01:56:00+0200"
"PRIMARY_004","simulation","qc_rfsc","QC-RFSC","reuse_exact",2026072604,0.062,,"not remeasured; cache retrieval time excluded",0.867,1000,500,0,0,"c26a82004d6084e7f28595edacd63ad688e7ff3f8735569e69149e228a3bd295","866b56481006d0d5dd1a57674d3cdcc3810e55dd75272cb82dfc0c49ba5b4b02","f39aab0549dbd9518222d15326686957da5e154973be298c53c543bbef1ccfb2","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:55:59+0200","2026-07-26T01:56:00+0200"
"PRIMARY_005","simulation","tiger","TIGER","rerun_required",2026072605,1617.199,1617.199,"measured method execution in frozen release",1617.8881,1000,500,0,0,"c26a82004d6084e7f28595edacd63ad688e7ff3f8735569e69149e228a3bd295","64598ee5bfececa48eeb05cb74f3f5c420c38e5d1b4d47289d1d9085db91b310","c90a28c3125ad3a234834af03b96cc025c5dcbce044fd37dd8aceb60eee99b4a","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:55:57+0200","2026-07-26T02:22:54+0200"
"PRIMARY_006","simulation","serrf","SERRF","reuse_exact",2026072606,0.062,,"not remeasured; cache retrieval time excluded",0.8531,1000,500,0,0,"c26a82004d6084e7f28595edacd63ad688e7ff3f8735569e69149e228a3bd295","a278eff367358563d5d79f47879fe4cda3b3c3d781537183ddc85a7246f49106","387211b9c79fcd30c6fd1f7a94de24d6e8df257ed390759cf2fcfbb079b7e4d9","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:55:59+0200","2026-07-26T01:56:00+0200"
"PRIMARY_007","simulation","winn_auto_qc","WiNN auto (QC)","rerun_required",2026072607,17.563,17.563,"measured method execution in frozen release",18.322,1000,500,0,0,"c26a82004d6084e7f28595edacd63ad688e7ff3f8735569e69149e228a3bd295","84a4399e846e1492dac75499a4fce9b5b94f339062941426283a5397c3293360","d0a27d27226da1c450efb458e48d208b79966def1b09f55786fd18e6f75641e6","9921b41d3cbde1c021e95077e68dab40043b82e46a40e6afc5f8258bdab40753","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:55:59+0200","2026-07-26T01:56:17+0200"
"PRIMARY_008","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","rerun_required",2026072608,21.503,21.503,"measured method execution in frozen release",22.8675,1000,500,0,0,"c26a82004d6084e7f28595edacd63ad688e7ff3f8735569e69149e228a3bd295","fc43dfe0c266ac5da0dec8f651200e17985b419722864689bd317a143b748993","25b3c16736963d2a9600c9c1131b9cacd124dd86b54bdebb58fa152f957d9dc7","a56f7c928dbbf1b83938955f1b6ed56d6bc668b6c0b2ab72fa04c87a421ae622","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:56:00+0200","2026-07-26T01:56:23+0200"
"PRIMARY_009","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","rerun_required",2026072609,7.758,7.758,"measured method execution in frozen release",8.6944,1000,500,0,0,"c26a82004d6084e7f28595edacd63ad688e7ff3f8735569e69149e228a3bd295","ad53bbd3cd7e9e33c84e67fb768cc1469c08062136c0f27f55f634bf805cb6ea","ff9b2794175032d5f39f266602f2c34750a75ccf29fb531401a873ed270fe6d5","4bc016d34411e1ed63b9d8b12740f0d0b286aea0cb5cf9d9098f414aea2d72e9","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:56:00+0200","2026-07-26T01:56:08+0200"
"PRIMARY_010","mtbls79","raw","Raw","reuse_exact",2026072610,0.159,0,"no correction",2.2364,2488,172,0,0,"534b8cb02685f04aeff548208d3127967d756e0203c4c56ee056b445c6b4a408","0e8af677bf210195b3041338663356fd28c1f7e6b29289cfdf10b2974ceb0fe1","c5b5af02e8273def3408554384d38d3c773e92de17c01d7af01de30fd270f8d6","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:56:01+0200","2026-07-26T01:56:03+0200"
"PRIMARY_011","mtbls79","combat","ComBat","reuse_exact",2026072611,0.136,,"not remeasured; cache retrieval time excluded",2.1893,2488,172,0,0,"534b8cb02685f04aeff548208d3127967d756e0203c4c56ee056b445c6b4a408","b5d71d5602bab25fa5aea1a2a7aeb6547356ef5c7972f996ce7a060554250653","84c1f3565b8ced299f2b83b41030110f771474686697c2b2fc241eb4d8fa98c6","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:55:59+0200","2026-07-26T01:56:01+0200"
"PRIMARY_012","mtbls79","qc_rlsc","QC-RLSC","rerun_required",2026072612,258.677,258.677,"measured method execution in frozen release",260.7352,2488,172,31,0,"534b8cb02685f04aeff548208d3127967d756e0203c4c56ee056b445c6b4a408","baf501ab32d80c73fd0177b2714406fecfed8f3cbdf8d02d340ed425035de533","3a772300eb0537c1a7fb3c366236f3665b8e63b04728b93a1a02c52aed583423","bdc0ed297064d8da1ba059db2164b4a50e7fa6a12cc13d4c1176d3fb5caf52d6","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:55:59+0200","2026-07-26T02:00:19+0200"
"PRIMARY_013","mtbls79","qc_rfsc","QC-RFSC","rerun_required",2026072613,76.148,76.148,"measured method execution in frozen release",77.9901,2488,172,0,0,"534b8cb02685f04aeff548208d3127967d756e0203c4c56ee056b445c6b4a408","cfc48e1198041437a15b868dba065daf51886b4bcea2a8c9acbcf9e71572cb0c","cb1f3fea15d5e66436f4f436ce1f9eecad3f9f8dce13e7eae7efcbd85885901b","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T02:01:09+0200","2026-07-26T02:02:27+0200"
"PRIMARY_014","mtbls79","tiger","TIGER","rerun_required",2026072614,2969.131,2969.131,"measured method execution in frozen release",2970.7042,2488,172,0,0,"534b8cb02685f04aeff548208d3127967d756e0203c4c56ee056b445c6b4a408","cb08f2cf990b0e8e3cbe8e0a3505a216dbfb2dac945b87b781453fbf88a9f658","aec58cb234f5ace4aed69bb404efc439540245cd60329129df23c3a1a99560cf","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:55:57+0200","2026-07-26T02:45:28+0200"
