"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","split_id","dataset"
"heldout_qc_cv_mean",44.4448135526709,"lower",1000,"percent","","simulation","raw","Raw","SPLIT01","Simulation"
"heldout_qc_cv_sd",30.7466965866138,"lower",1000,"percent","","simulation","raw","Raw","SPLIT01","Simulation"
"heldout_qc_cv_median",41.9669955343436,"lower",1000,"percent","","simulation","raw","Raw","SPLIT01","Simulation"
"residual_run_order_gam_mean_deviance",0.12764961730634,"lower",5000,"proportion","","simulation","raw","Raw","SPLIT01","Simulation"
"residual_run_order_gam_sd_deviance",0.197313555439377,"lower",5000,"proportion","","simulation","raw","Raw","SPLIT01","Simulation"
"residual_ljung_box_proportion_significant",0.2482,"lower",5000,"proportion","","simulation","raw","Raw","SPLIT01","Simulation"
"batch_weighted_pc_r2_categorical",0.965647338615417,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","raw","Raw","SPLIT01","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","raw","Raw","SPLIT01","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","raw","Raw","SPLIT01","Simulation"
"runtime_sec",0.1,"lower",1,"seconds","","simulation","raw","Raw","SPLIT01","Simulation"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","raw","Raw","SPLIT01","Simulation"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","raw","Raw","SPLIT01","Simulation"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","raw","Raw","SPLIT01","Simulation"
"truth_metabolite_profile_icc_mean",0.586183758689398,"higher",1000,"ICC(A,1)","","simulation","raw","Raw","SPLIT01","Simulation"
"truth_sample_profile_pearson_mean",0.521842186444926,"higher",450,"correlation","","simulation","raw","Raw","SPLIT01","Simulation"
"truth_log1p_rmse",0.290839531888212,"lower",450000,"log1p intensity","","simulation","raw","Raw","SPLIT01","Simulation"
"heldout_qc_cv_mean",12.3136810489198,"lower",1000,"percent","","simulation","combat","ComBat","SPLIT01","Simulation"
"heldout_qc_cv_sd",9.35451981643753,"lower",1000,"percent","","simulation","combat","ComBat","SPLIT01","Simulation"
"heldout_qc_cv_median",10.6760716316729,"lower",1000,"percent","","simulation","combat","ComBat","SPLIT01","Simulation"
"residual_run_order_gam_mean_deviance",0.127649520286793,"lower",5000,"proportion","","simulation","combat","ComBat","SPLIT01","Simulation"
"residual_run_order_gam_sd_deviance",0.197313916613525,"lower",5000,"proportion","","simulation","combat","ComBat","SPLIT01","Simulation"
"residual_ljung_box_proportion_significant",0.2482,"lower",5000,"proportion","","simulation","combat","ComBat","SPLIT01","Simulation"
"batch_weighted_pc_r2_categorical",0.000103519147488483,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","combat","ComBat","SPLIT01","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","combat","ComBat","SPLIT01","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","combat","ComBat","SPLIT01","Simulation"
"runtime_sec",1.89,"lower",1,"seconds","","simulation","combat","ComBat","SPLIT01","Simulation"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","combat","ComBat","SPLIT01","Simulation"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","combat","ComBat","SPLIT01","Simulation"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","combat","ComBat","SPLIT01","Simulation"
"truth_metabolite_profile_icc_mean",0.879386831580911,"higher",1000,"ICC(A,1)","","simulation","combat","ComBat","SPLIT01","Simulation"
"truth_sample_profile_pearson_mean",0.881066706839948,"higher",450,"correlation","","simulation","combat","ComBat","SPLIT01","Simulation"
"truth_log1p_rmse",0.103140426488342,"lower",450000,"log1p intensity","","simulation","combat","ComBat","SPLIT01","Simulation"
"heldout_qc_cv_mean",10.6011497849603,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SPLIT01","Simulation"
"heldout_qc_cv_sd",8.00104490872902,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SPLIT01","Simulation"
"heldout_qc_cv_median",8.20526437767108,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SPLIT01","Simulation"
"residual_run_order_gam_mean_deviance",0.0512997079770431,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SPLIT01","Simulation"
"residual_run_order_gam_sd_deviance",0.0879153799962883,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SPLIT01","Simulation"
"residual_ljung_box_proportion_significant",0.0642,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SPLIT01","Simulation"
"batch_weighted_pc_r2_categorical",9.54966393723218e-05,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","qc_rlsc","QC-RLSC","SPLIT01","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","qc_rlsc","QC-RLSC","SPLIT01","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","qc_rlsc","QC-RLSC","SPLIT01","Simulation"
"runtime_sec",4.895,"lower",1,"seconds","","simulation","qc_rlsc","QC-RLSC","SPLIT01","Simulation"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","qc_rlsc","QC-RLSC","SPLIT01","Simulation"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","qc_rlsc","QC-RLSC","SPLIT01","Simulation"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","qc_rlsc","QC-RLSC","SPLIT01","Simulation"
"truth_metabolite_profile_icc_mean",0.907383277009528,"higher",1000,"ICC(A,1)","","simulation","qc_rlsc","QC-RLSC","SPLIT01","Simulation"
"truth_sample_profile_pearson_mean",0.908643825814226,"higher",450,"correlation","","simulation","qc_rlsc","QC-RLSC","SPLIT01","Simulation"
"truth_log1p_rmse",0.0879778468667685,"lower",450000,"log1p intensity","","simulation","qc_rlsc","QC-RLSC","SPLIT01","Simulation"
"heldout_qc_cv_mean",11.9161469089622,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","SPLIT01","Simulation"
"heldout_qc_cv_sd",8.60095318916585,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","SPLIT01","Simulation"
"heldout_qc_cv_median",10.8463757456252,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","SPLIT01","Simulation"
"residual_run_order_gam_mean_deviance",0.129414905445359,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","SPLIT01","Simulation"
"residual_run_order_gam_sd_deviance",0.152951953638556,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","SPLIT01","Simulation"
"residual_ljung_box_proportion_significant",0.2076,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","SPLIT01","Simulation"
"batch_weighted_pc_r2_categorical",0.147132887952099,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","qc_rfsc","QC-RFSC","SPLIT01","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","qc_rfsc","QC-RFSC","SPLIT01","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","qc_rfsc","QC-RFSC","SPLIT01","Simulation"
"runtime_sec",29.622,"lower",1,"seconds","","simulation","qc_rfsc","QC-RFSC","SPLIT01","Simulation"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","qc_rfsc","QC-RFSC","SPLIT01","Simulation"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","qc_rfsc","QC-RFSC","SPLIT01","Simulation"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","qc_rfsc","QC-RFSC","SPLIT01","Simulation"
"truth_metabolite_profile_icc_mean",0.698228637240128,"higher",1000,"ICC(A,1)","","simulation","qc_rfsc","QC-RFSC","SPLIT01","Simulation"
"truth_sample_profile_pearson_mean",0.682428434925985,"higher",450,"correlation","","simulation","qc_rfsc","QC-RFSC","SPLIT01","Simulation"
"truth_log1p_rmse",0.194145377574802,"lower",450000,"log1p intensity","","simulation","qc_rfsc","QC-RFSC","SPLIT01","Simulation"
"heldout_qc_cv_mean",8.71289849955926,"lower",1000,"percent","","simulation","tiger","TIGER","SPLIT01","Simulation"
"heldout_qc_cv_sd",9.1143699287247,"lower",1000,"percent","","simulation","tiger","TIGER","SPLIT01","Simulation"
"heldout_qc_cv_median",7.04059318556577,"lower",1000,"percent","","simulation","tiger","TIGER","SPLIT01","Simulation"
"residual_run_order_gam_mean_deviance",0.0837037027671771,"lower",5000,"proportion","","simulation","tiger","TIGER","SPLIT01","Simulation"
"residual_run_order_gam_sd_deviance",0.126772061419056,"lower",5000,"proportion","","simulation","tiger","TIGER","SPLIT01","Simulation"
"residual_ljung_box_proportion_significant",0.17,"lower",5000,"proportion","","simulation","tiger","TIGER","SPLIT01","Simulation"
"batch_weighted_pc_r2_categorical",0.0561637515920173,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","tiger","TIGER","SPLIT01","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","tiger","TIGER","SPLIT01","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","tiger","TIGER","SPLIT01","Simulation"
"runtime_sec",1650.444,"lower",1,"seconds","","simulation","tiger","TIGER","SPLIT01","Simulation"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","tiger","TIGER","SPLIT01","Simulation"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","tiger","TIGER","SPLIT01","Simulation"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","tiger","TIGER","SPLIT01","Simulation"
"truth_metabolite_profile_icc_mean",0.875046839482296,"higher",1000,"ICC(A,1)","","simulation","tiger","TIGER","SPLIT01","Simulation"
"truth_sample_profile_pearson_mean",0.859640774806643,"higher",450,"correlation","","simulation","tiger","TIGER","SPLIT01","Simulation"
"truth_log1p_rmse",0.109140618081049,"lower",450000,"log1p intensity","","simulation","tiger","TIGER","SPLIT01","Simulation"
"heldout_qc_cv_mean",12.1819624962419,"lower",1000,"percent","","simulation","serrf","SERRF","SPLIT01","Simulation"
"heldout_qc_cv_sd",9.30991405921272,"lower",1000,"percent","","simulation","serrf","SERRF","SPLIT01","Simulation"
"heldout_qc_cv_median",9.83279630080471,"lower",1000,"percent","","simulation","serrf","SERRF","SPLIT01","Simulation"
"residual_run_order_gam_mean_deviance",0.0980529296863076,"lower",5000,"proportion","","simulation","serrf","SERRF","SPLIT01","Simulation"
"residual_run_order_gam_sd_deviance",0.154847000209549,"lower",5000,"proportion","","simulation","serrf","SERRF","SPLIT01","Simulation"
"residual_ljung_box_proportion_significant",0.1944,"lower",5000,"proportion","","simulation","serrf","SERRF","SPLIT01","Simulation"
"batch_weighted_pc_r2_categorical",0.000748658767671854,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","serrf","SERRF","SPLIT01","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","serrf","SERRF","SPLIT01","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","serrf","SERRF","SPLIT01","Simulation"
"runtime_sec",317.441,"lower",1,"seconds","","simulation","serrf","SERRF","SPLIT01","Simulation"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","serrf","SERRF","SPLIT01","Simulation"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","serrf","SERRF","SPLIT01","Simulation"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","serrf","SERRF","SPLIT01","Simulation"
"truth_metabolite_profile_icc_mean",0.888707347438375,"higher",1000,"ICC(A,1)","","simulation","serrf","SERRF","SPLIT01","Simulation"
"truth_sample_profile_pearson_mean",0.880763761420735,"higher",450,"correlation","","simulation","serrf","SERRF","SPLIT01","Simulation"
"truth_log1p_rmse",0.0947981655589821,"lower",450000,"log1p intensity","","simulation","serrf","SERRF","SPLIT01","Simulation"
"heldout_qc_cv_mean",8.56714687079474,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT01","Simulation"
"heldout_qc_cv_sd",6.18491691021205,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT01","Simulation"
"heldout_qc_cv_median",7.43793960215717,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT01","Simulation"
"residual_run_order_gam_mean_deviance",0.0190413481042518,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT01","Simulation"
"residual_run_order_gam_sd_deviance",0.0319568707132204,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT01","Simulation"
"residual_ljung_box_proportion_significant",0.0084,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT01","Simulation"
"batch_weighted_pc_r2_categorical",0.00100136787125128,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT01","Simulation"
