"dataset_key","dataset","split_id","task_id","method_id","method","selection_rule","selected_candidate_id","selection_signature","selected_training_qc_score","candidate_count","n_training_qc","n_hidden_qc","hidden_qc_values_available","biological_labels_available","replicate_identities_available"
"simulation","Simulation","SPLIT01","REF_001","raw","Raw","fixed; no selection",,"fixed; no selection",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT01","REF_002","combat","ComBat","fixed; no selection",,"fixed; no selection",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT01","REF_003","qc_rlsc","QC-RLSC","fixed; no selection",,"fixed; no selection",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT01","REF_004","qc_rfsc","QC-RFSC","fixed; no selection",,"fixed; no selection",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT01","REF_005","serrf","SERRF","fixed; no selection",,"fixed; no selection",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT01","REF_006","winn_auto_qc","WiNN auto (QC)","package auto using training QCs only",,"{""parameters"":""auto"",""batch_option"":""provided"",""pelt_penalty"":null,""test"":""Ljung-Box"",""ljung_box_fitdf"":0,""lag"":""adaptive"",""spline_method"":""conservative"",""acorr_fdr"":0.1,""anova_fdr"":0.01,""normalization"":""shrink"",""scale_by_batch"":false}",0.854682786440105,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT01","REF_007","winn_auto_batch_qc","WiNN auto-batch (QC)","package auto using training QCs only",,"{""parameters"":""auto"",""batch_option"":""auto"",""pelt_penalty"":18.6438242952666,""test"":""Ljung-Box"",""ljung_box_fitdf"":0,""lag"":""adaptive"",""spline_method"":""conservative"",""acorr_fdr"":0.01,""anova_fdr"":0.1,""normalization"":""shrink"",""scale_by_batch"":false}",0.684957149678079,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT01","REF_008","winn_fixed_no_qc","WiNN fixed default (no QC)","fixed; no selection",,"{""parameters"":""fixed"",""pelt_penalty"":null,""test"":""Ljung-Box"",""ljung_box_fitdf"":0,""lag"":""adaptive"",""spline_method"":""conservative"",""scale_by_batch"":false}",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT02","REF_009","raw","Raw","fixed; no selection",,"fixed; no selection",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT02","REF_010","combat","ComBat","fixed; no selection",,"fixed; no selection",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT02","REF_011","qc_rlsc","QC-RLSC","fixed; no selection",,"fixed; no selection",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT02","REF_012","qc_rfsc","QC-RFSC","fixed; no selection",,"fixed; no selection",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT02","REF_013","serrf","SERRF","fixed; no selection",,"fixed; no selection",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT02","REF_014","winn_auto_qc","WiNN auto (QC)","package auto using training QCs only",,"{""parameters"":""auto"",""batch_option"":""provided"",""pelt_penalty"":null,""test"":""Ljung-Box"",""ljung_box_fitdf"":0,""lag"":""adaptive"",""spline_method"":""conservative"",""acorr_fdr"":0.1,""anova_fdr"":0.01,""normalization"":""shrink"",""scale_by_batch"":false}",0.854481458791899,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT02","REF_015","winn_auto_batch_qc","WiNN auto-batch (QC)","package auto using training QCs only",,"{""parameters"":""auto"",""batch_option"":""auto"",""pelt_penalty"":18.6438242952666,""test"":""Ljung-Box"",""ljung_box_fitdf"":0,""lag"":""adaptive"",""spline_method"":""conservative"",""acorr_fdr"":0.01,""anova_fdr"":0.1,""normalization"":""shrink"",""scale_by_batch"":false}",0.682854933490007,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT02","REF_016","winn_fixed_no_qc","WiNN fixed default (no QC)","fixed; no selection",,"{""parameters"":""fixed"",""pelt_penalty"":null,""test"":""Ljung-Box"",""ljung_box_fitdf"":0,""lag"":""adaptive"",""spline_method"":""conservative"",""scale_by_batch"":false}",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT03","REF_017","raw","Raw","fixed; no selection",,"fixed; no selection",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT03","REF_018","combat","ComBat","fixed; no selection",,"fixed; no selection",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT03","REF_019","qc_rlsc","QC-RLSC","fixed; no selection",,"fixed; no selection",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT03","REF_020","qc_rfsc","QC-RFSC","fixed; no selection",,"fixed; no selection",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT03","REF_021","serrf","SERRF","fixed; no selection",,"fixed; no selection",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT03","REF_022","winn_auto_qc","WiNN auto (QC)","package auto using training QCs only",,"{""parameters"":""auto"",""batch_option"":""provided"",""pelt_penalty"":null,""test"":""Ljung-Box"",""ljung_box_fitdf"":0,""lag"":""adaptive"",""spline_method"":""conservative"",""acorr_fdr"":0.1,""anova_fdr"":0.01,""normalization"":""shrink"",""scale_by_batch"":false}",0.8571411227434,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT03","REF_023","winn_auto_batch_qc","WiNN auto-batch (QC)","package auto using training QCs only",,"{""parameters"":""auto"",""batch_option"":""auto"",""pelt_penalty"":18.6438242952666,""test"":""Ljung-Box"",""ljung_box_fitdf"":0,""lag"":""adaptive"",""spline_method"":""conservative"",""acorr_fdr"":0.01,""anova_fdr"":0.1,""normalization"":""shrink"",""scale_by_batch"":false}",0.716846692152274,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT03","REF_024","winn_fixed_no_qc","WiNN fixed default (no QC)","fixed; no selection",,"{""parameters"":""fixed"",""pelt_penalty"":null,""test"":""Ljung-Box"",""ljung_box_fitdf"":0,""lag"":""adaptive"",""spline_method"":""conservative"",""scale_by_batch"":false}",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT04","REF_025","raw","Raw","fixed; no selection",,"fixed; no selection",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT04","REF_026","combat","ComBat","fixed; no selection",,"fixed; no selection",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT04","REF_027","qc_rlsc","QC-RLSC","fixed; no selection",,"fixed; no selection",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT04","REF_028","qc_rfsc","QC-RFSC","fixed; no selection",,"fixed; no selection",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT04","REF_029","serrf","SERRF","fixed; no selection",,"fixed; no selection",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT04","REF_030","winn_auto_qc","WiNN auto (QC)","package auto using training QCs only",,"{""parameters"":""auto"",""batch_option"":""provided"",""pelt_penalty"":null,""test"":""Ljung-Box"",""ljung_box_fitdf"":0,""lag"":""adaptive"",""spline_method"":""conservative"",""acorr_fdr"":0.1,""anova_fdr"":0.01,""normalization"":""shrink"",""scale_by_batch"":false}",0.855878799701504,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT04","REF_031","winn_auto_batch_qc","WiNN auto-batch (QC)","package auto using training QCs only",,"{""parameters"":""auto"",""batch_option"":""auto"",""pelt_penalty"":18.6438242952666,""test"":""Ljung-Box"",""ljung_box_fitdf"":0,""lag"":""adaptive"",""spline_method"":""conservative"",""acorr_fdr"":0.01,""anova_fdr"":0.1,""normalization"":""shrink"",""scale_by_batch"":false}",0.70121902332675,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT04","REF_032","winn_fixed_no_qc","WiNN fixed default (no QC)","fixed; no selection",,"{""parameters"":""fixed"",""pelt_penalty"":null,""test"":""Ljung-Box"",""ljung_box_fitdf"":0,""lag"":""adaptive"",""spline_method"":""conservative"",""scale_by_batch"":false}",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT05","REF_033","raw","Raw","fixed; no selection",,"fixed; no selection",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT05","REF_034","combat","ComBat","fixed; no selection",,"fixed; no selection",,1,40,10,FALSE,FALSE,FALSE
"simulation","Simulation","SPLIT05","REF_035","qc_rlsc","QC-RLSC","fixed; no selection",,"fixed; no selection",,1,40,10,FALSE,FALSE,FALSE
