"dataset_key","dataset","method_id","method","metric","value","denominator","units"
"simulation","Simulation","raw","Raw","retained_features",1000,1000,"features"
"simulation","Simulation","raw","Raw","retained_samples",500,500,"samples"
"simulation","Simulation","raw","Raw","runtime_sec",0,1,"seconds"
"simulation","Simulation","combat","ComBat","retained_features",1000,1000,"features"
"simulation","Simulation","combat","ComBat","retained_samples",500,500,"samples"
"simulation","Simulation","combat","ComBat","runtime_sec",,1,"seconds"
"simulation","Simulation","qc_rlsc","QC-RLSC","retained_features",1000,1000,"features"
"simulation","Simulation","qc_rlsc","QC-RLSC","retained_samples",500,500,"samples"
"simulation","Simulation","qc_rlsc","QC-RLSC","runtime_sec",,1,"seconds"
"simulation","Simulation","qc_rfsc","QC-RFSC","retained_features",1000,1000,"features"
"simulation","Simulation","qc_rfsc","QC-RFSC","retained_samples",500,500,"samples"
"simulation","Simulation","qc_rfsc","QC-RFSC","runtime_sec",,1,"seconds"
"simulation","Simulation","tiger","TIGER","retained_features",1000,1000,"features"
"simulation","Simulation","tiger","TIGER","retained_samples",500,500,"samples"
"simulation","Simulation","tiger","TIGER","runtime_sec",1617.199,1,"seconds"
"simulation","Simulation","serrf","SERRF","retained_features",1000,1000,"features"
"simulation","Simulation","serrf","SERRF","retained_samples",500,500,"samples"
"simulation","Simulation","serrf","SERRF","runtime_sec",,1,"seconds"
"simulation","Simulation","winn_auto_qc","WiNN auto (QC)","retained_features",1000,1000,"features"
"simulation","Simulation","winn_auto_qc","WiNN auto (QC)","retained_samples",500,500,"samples"
"simulation","Simulation","winn_auto_qc","WiNN auto (QC)","runtime_sec",17.563,1,"seconds"
"simulation","Simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","retained_features",1000,1000,"features"
"simulation","Simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","retained_samples",500,500,"samples"
"simulation","Simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","runtime_sec",21.503,1,"seconds"
"simulation","Simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","retained_features",1000,1000,"features"
"simulation","Simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","retained_samples",500,500,"samples"
"simulation","Simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","runtime_sec",7.758,1,"seconds"
"mtbls79","MTBLS79","raw","Raw","retained_features",2488,2488,"features"
"mtbls79","MTBLS79","raw","Raw","retained_samples",172,172,"samples"
"mtbls79","MTBLS79","raw","Raw","runtime_sec",0,1,"seconds"
"mtbls79","MTBLS79","combat","ComBat","retained_features",2488,2488,"features"
"mtbls79","MTBLS79","combat","ComBat","retained_samples",172,172,"samples"
"mtbls79","MTBLS79","combat","ComBat","runtime_sec",,1,"seconds"
"mtbls79","MTBLS79","qc_rlsc","QC-RLSC","retained_features",2488,2488,"features"
"mtbls79","MTBLS79","qc_rlsc","QC-RLSC","retained_samples",172,172,"samples"
"mtbls79","MTBLS79","qc_rlsc","QC-RLSC","runtime_sec",258.677,1,"seconds"
"mtbls79","MTBLS79","qc_rfsc","QC-RFSC","retained_features",2488,2488,"features"
"mtbls79","MTBLS79","qc_rfsc","QC-RFSC","retained_samples",172,172,"samples"
"mtbls79","MTBLS79","qc_rfsc","QC-RFSC","runtime_sec",76.148,1,"seconds"
"mtbls79","MTBLS79","tiger","TIGER","retained_features",2488,2488,"features"
"mtbls79","MTBLS79","tiger","TIGER","retained_samples",172,172,"samples"
"mtbls79","MTBLS79","tiger","TIGER","runtime_sec",2969.131,1,"seconds"
"mtbls79","MTBLS79","serrf","SERRF","retained_features",2488,2488,"features"
"mtbls79","MTBLS79","serrf","SERRF","retained_samples",172,172,"samples"
"mtbls79","MTBLS79","serrf","SERRF","runtime_sec",1713.737,1,"seconds"
"mtbls79","MTBLS79","winn_auto_qc","WiNN auto (QC)","retained_features",2488,2488,"features"
"mtbls79","MTBLS79","winn_auto_qc","WiNN auto (QC)","retained_samples",172,172,"samples"
"mtbls79","MTBLS79","winn_auto_qc","WiNN auto (QC)","runtime_sec",16.819,1,"seconds"
"mtbls79","MTBLS79","winn_auto_batch_qc","WiNN auto-batch (QC)","retained_features",2488,2488,"features"
"mtbls79","MTBLS79","winn_auto_batch_qc","WiNN auto-batch (QC)","retained_samples",172,172,"samples"
"mtbls79","MTBLS79","winn_auto_batch_qc","WiNN auto-batch (QC)","runtime_sec",20.851,1,"seconds"
"mtbls79","MTBLS79","winn_fixed_no_qc","WiNN fixed default (no QC)","retained_features",2488,2488,"features"
"mtbls79","MTBLS79","winn_fixed_no_qc","WiNN fixed default (no QC)","retained_samples",172,172,"samples"
"mtbls79","MTBLS79","winn_fixed_no_qc","WiNN fixed default (no QC)","runtime_sec",9.034,1,"seconds"
"clinical_fiams","Clinical FIA-MS","raw","Raw","retained_features",1594,1594,"features"
"clinical_fiams","Clinical FIA-MS","raw","Raw","retained_samples",660,660,"samples"
"clinical_fiams","Clinical FIA-MS","raw","Raw","runtime_sec",0,1,"seconds"
"clinical_fiams","Clinical FIA-MS","combat","ComBat","retained_features",1594,1594,"features"
"clinical_fiams","Clinical FIA-MS","combat","ComBat","retained_samples",660,660,"samples"
"clinical_fiams","Clinical FIA-MS","combat","ComBat","runtime_sec",,1,"seconds"
"clinical_fiams","Clinical FIA-MS","qc_rlsc","QC-RLSC","retained_features",1594,1594,"features"
