"dataset_key","dataset","method_id","method","metric","value","direction","denominator","units"
"simulation","Simulation","G_SS","selective/selective","heldout_qc_cv_mean",8.76629278513728,"lower",1000,"percent"
"simulation","Simulation","G_SS","selective/selective","heldout_qc_cv_sd",6.24541161559367,"lower",1000,"percent"
"simulation","Simulation","G_SS","selective/selective","heldout_qc_cv_median",7.76573226958891,"lower",1000,"percent"
"simulation","Simulation","G_SS","selective/selective","residual_run_order_gam_mean_deviance",0.020259360410254,"lower",5000,"proportion"
"simulation","Simulation","G_SS","selective/selective","residual_run_order_gam_sd_deviance",0.033790592433155,"lower",5000,"proportion"
"simulation","Simulation","G_SS","selective/selective","residual_ljung_box_proportion_significant",0.0078,"lower",5000,"proportion"
"simulation","Simulation","G_SS","selective/selective","batch_weighted_pc_r2_categorical",0.000984578035653711,"lower",450,"weighted R-squared"
"simulation","Simulation","G_SS","selective/selective","retained_features",1000,"higher",1000,"features"
"simulation","Simulation","G_SS","selective/selective","retained_samples",500,"higher",500,"samples"
"simulation","Simulation","G_SS","selective/selective","runtime_sec",6.119,"lower",1,"seconds"
"simulation","Simulation","G_SS","selective/selective","drift_profiles_corrected",1440,"descriptive",5000,"profiles"
"simulation","Simulation","G_SS","selective/selective","drift_features_corrected",655,"descriptive",1000,"features"
"simulation","Simulation","G_SS","selective/selective","batch_features_corrected",725,"descriptive",1000,"features"
"simulation","Simulation","G_SS","selective/selective","truth_metabolite_profile_icc_mean",0.922101988056287,"higher",1000,"ICC(A,1)"
"simulation","Simulation","G_SS","selective/selective","truth_sample_profile_pearson_mean",0.925722367961271,"higher",450,"correlation"
"simulation","Simulation","G_SS","selective/selective","truth_log1p_rmse",0.0717656363030658,"lower",450000,"log1p intensity"
"simulation","Simulation","G_AS","all/selective","heldout_qc_cv_mean",10.7950921650205,"lower",1000,"percent"
"simulation","Simulation","G_AS","all/selective","heldout_qc_cv_sd",5.09851469131674,"lower",1000,"percent"
"simulation","Simulation","G_AS","all/selective","heldout_qc_cv_median",9.43095014939824,"lower",1000,"percent"
"simulation","Simulation","G_AS","all/selective","residual_run_order_gam_mean_deviance",0.000773516898207875,"lower",5000,"proportion"
"simulation","Simulation","G_AS","all/selective","residual_run_order_gam_sd_deviance",0.00295914512847696,"lower",5000,"proportion"
"simulation","Simulation","G_AS","all/selective","residual_ljung_box_proportion_significant",0.0132,"lower",5000,"proportion"
"simulation","Simulation","G_AS","all/selective","batch_weighted_pc_r2_categorical",0.000850718286039682,"lower",450,"weighted R-squared"
"simulation","Simulation","G_AS","all/selective","retained_features",1000,"higher",1000,"features"
"simulation","Simulation","G_AS","all/selective","retained_samples",500,"higher",500,"samples"
"simulation","Simulation","G_AS","all/selective","runtime_sec",13.657,"lower",1,"seconds"
"simulation","Simulation","G_AS","all/selective","drift_profiles_corrected",5000,"descriptive",5000,"profiles"
"simulation","Simulation","G_AS","all/selective","drift_features_corrected",1000,"descriptive",1000,"features"
"simulation","Simulation","G_AS","all/selective","batch_features_corrected",728,"descriptive",1000,"features"
"simulation","Simulation","G_AS","all/selective","truth_metabolite_profile_icc_mean",0.910460210285255,"higher",1000,"ICC(A,1)"
"simulation","Simulation","G_AS","all/selective","truth_sample_profile_pearson_mean",0.914863811819088,"higher",450,"correlation"
"simulation","Simulation","G_AS","all/selective","truth_log1p_rmse",0.0755212043596487,"lower",450000,"log1p intensity"
"simulation","Simulation","G_SA","selective/all","heldout_qc_cv_mean",9.10860426114912,"lower",1000,"percent"
"simulation","Simulation","G_SA","selective/all","heldout_qc_cv_sd",5.90142525941107,"lower",1000,"percent"
"simulation","Simulation","G_SA","selective/all","heldout_qc_cv_median",7.85893016567543,"lower",1000,"percent"
"simulation","Simulation","G_SA","selective/all","residual_run_order_gam_mean_deviance",0.0202504886317659,"lower",5000,"proportion"
"simulation","Simulation","G_SA","selective/all","residual_run_order_gam_sd_deviance",0.0337660629426647,"lower",5000,"proportion"
"simulation","Simulation","G_SA","selective/all","residual_ljung_box_proportion_significant",0.0078,"lower",5000,"proportion"
"simulation","Simulation","G_SA","selective/all","batch_weighted_pc_r2_categorical",9.15272892016977e-05,"lower",450,"weighted R-squared"
"simulation","Simulation","G_SA","selective/all","retained_features",1000,"higher",1000,"features"
"simulation","Simulation","G_SA","selective/all","retained_samples",500,"higher",500,"samples"
"simulation","Simulation","G_SA","selective/all","runtime_sec",5.792,"lower",1,"seconds"
"simulation","Simulation","G_SA","selective/all","drift_profiles_corrected",1440,"descriptive",5000,"profiles"
"simulation","Simulation","G_SA","selective/all","drift_features_corrected",655,"descriptive",1000,"features"
"simulation","Simulation","G_SA","selective/all","batch_features_corrected",1000,"descriptive",1000,"features"
"simulation","Simulation","G_SA","selective/all","truth_metabolite_profile_icc_mean",0.921230243391027,"higher",1000,"ICC(A,1)"
"simulation","Simulation","G_SA","selective/all","truth_sample_profile_pearson_mean",0.924797943507282,"higher",450,"correlation"
"simulation","Simulation","G_SA","selective/all","truth_log1p_rmse",0.0721145524012737,"lower",450000,"log1p intensity"
"simulation","Simulation","G_AA","all/all","heldout_qc_cv_mean",10.9169677941253,"lower",1000,"percent"
"simulation","Simulation","G_AA","all/all","heldout_qc_cv_sd",5.06025497581264,"lower",1000,"percent"
"simulation","Simulation","G_AA","all/all","heldout_qc_cv_median",9.70138424815032,"lower",1000,"percent"
"simulation","Simulation","G_AA","all/all","residual_run_order_gam_mean_deviance",0.000773314503840401,"lower",5000,"proportion"
"simulation","Simulation","G_AA","all/all","residual_run_order_gam_sd_deviance",0.00296620240447871,"lower",5000,"proportion"
"simulation","Simulation","G_AA","all/all","residual_ljung_box_proportion_significant",0.013,"lower",5000,"proportion"
"simulation","Simulation","G_AA","all/all","batch_weighted_pc_r2_categorical",0.000105489848278708,"lower",450,"weighted R-squared"
"simulation","Simulation","G_AA","all/all","retained_features",1000,"higher",1000,"features"
"simulation","Simulation","G_AA","all/all","retained_samples",500,"higher",500,"samples"
"simulation","Simulation","G_AA","all/all","runtime_sec",13.973,"lower",1,"seconds"
"simulation","Simulation","G_AA","all/all","drift_profiles_corrected",5000,"descriptive",5000,"profiles"
"simulation","Simulation","G_AA","all/all","drift_features_corrected",1000,"descriptive",1000,"features"
"simulation","Simulation","G_AA","all/all","batch_features_corrected",1000,"descriptive",1000,"features"
"simulation","Simulation","G_AA","all/all","truth_metabolite_profile_icc_mean",0.909547858318861,"higher",1000,"ICC(A,1)"
"simulation","Simulation","G_AA","all/all","truth_sample_profile_pearson_mean",0.913957044306018,"higher",450,"correlation"
"simulation","Simulation","G_AA","all/all","truth_log1p_rmse",0.075859055149693,"lower",450000,"log1p intensity"
"mtbls79","MTBLS79","G_SS","selective/selective","heldout_qc_cv_mean",16.6785376235596,"lower",2488,"percent"
"mtbls79","MTBLS79","G_SS","selective/selective","heldout_qc_cv_sd",9.84009169616315,"lower",2488,"percent"
"mtbls79","MTBLS79","G_SS","selective/selective","heldout_qc_cv_median",14.2477224431198,"lower",2488,"percent"
"mtbls79","MTBLS79","G_SS","selective/selective","residual_run_order_gam_mean_deviance",0.140078697278888,"lower",19904,"proportion"
"mtbls79","MTBLS79","G_SS","selective/selective","residual_run_order_gam_sd_deviance",0.168153066112504,"lower",19904,"proportion"
"mtbls79","MTBLS79","G_SS","selective/selective","residual_ljung_box_proportion_significant",0.00221061093247588,"lower",19904,"proportion"
"mtbls79","MTBLS79","G_SS","selective/selective","batch_weighted_pc_r2_categorical",0.0108480104370861,"lower",134,"weighted R-squared"
"mtbls79","MTBLS79","G_SS","selective/selective","retained_features",2488,"higher",2488,"features"
"mtbls79","MTBLS79","G_SS","selective/selective","retained_samples",172,"higher",172,"samples"
"mtbls79","MTBLS79","G_SS","selective/selective","runtime_sec",7.589,"lower",1,"seconds"
"mtbls79","MTBLS79","G_SS","selective/selective","drift_profiles_corrected",52,"descriptive",19904,"profiles"
"mtbls79","MTBLS79","G_SS","selective/selective","drift_features_corrected",40,"descriptive",2488,"features"
"mtbls79","MTBLS79","G_SS","selective/selective","batch_features_corrected",1860,"descriptive",2488,"features"
"mtbls79","MTBLS79","G_SS","selective/selective","biological_weighted_pc_r2",0.471479113913378,"higher",134,"weighted R-squared"
"mtbls79","MTBLS79","G_SS","selective/selective","metabolite_icc_a1_median",0.674414477673406,"higher",2488,"ICC(A,1)"
"mtbls79","MTBLS79","G_SS","selective/selective","sample_replicate_pearson_median",0.975436813944675,"higher",20,"correlation"
"mtbls79","MTBLS79","G_SS","selective/selective","biological_associated_features",1013,"context",2488,"features"
"mtbls79","MTBLS79","G_AS","all/selective","heldout_qc_cv_mean",19.8303472738463,"lower",2488,"percent"
"mtbls79","MTBLS79","G_AS","all/selective","heldout_qc_cv_sd",10.5297021007681,"lower",2488,"percent"
"mtbls79","MTBLS79","G_AS","all/selective","heldout_qc_cv_median",17.5056258145901,"lower",2488,"percent"
"mtbls79","MTBLS79","G_AS","all/selective","residual_run_order_gam_mean_deviance",0.0212930395917055,"lower",19904,"proportion"
"mtbls79","MTBLS79","G_AS","all/selective","residual_run_order_gam_sd_deviance",0.0458380731580205,"lower",19904,"proportion"
"mtbls79","MTBLS79","G_AS","all/selective","residual_ljung_box_proportion_significant",0.0789288585209003,"lower",19904,"proportion"
"mtbls79","MTBLS79","G_AS","all/selective","batch_weighted_pc_r2_categorical",0.00638791838609736,"lower",134,"weighted R-squared"
"mtbls79","MTBLS79","G_AS","all/selective","retained_features",2488,"higher",2488,"features"
"mtbls79","MTBLS79","G_AS","all/selective","retained_samples",172,"higher",172,"samples"
"mtbls79","MTBLS79","G_AS","all/selective","runtime_sec",49.703,"lower",1,"seconds"
"mtbls79","MTBLS79","G_AS","all/selective","drift_profiles_corrected",19904,"descriptive",19904,"profiles"
"mtbls79","MTBLS79","G_AS","all/selective","drift_features_corrected",2488,"descriptive",2488,"features"
"mtbls79","MTBLS79","G_AS","all/selective","batch_features_corrected",2060,"descriptive",2488,"features"
"mtbls79","MTBLS79","G_AS","all/selective","biological_weighted_pc_r2",0.459601565639676,"higher",134,"weighted R-squared"
"mtbls79","MTBLS79","G_AS","all/selective","metabolite_icc_a1_median",0.640185554278018,"higher",2488,"ICC(A,1)"
"mtbls79","MTBLS79","G_AS","all/selective","sample_replicate_pearson_median",0.981099298652759,"higher",20,"correlation"
"mtbls79","MTBLS79","G_AS","all/selective","biological_associated_features",1067,"context",2488,"features"
"mtbls79","MTBLS79","G_SA","selective/all","heldout_qc_cv_mean",15.9700072181085,"lower",2488,"percent"
"mtbls79","MTBLS79","G_SA","selective/all","heldout_qc_cv_sd",9.72836425484772,"lower",2488,"percent"
"mtbls79","MTBLS79","G_SA","selective/all","heldout_qc_cv_median",13.4413312879625,"lower",2488,"percent"
"mtbls79","MTBLS79","G_SA","selective/all","residual_run_order_gam_mean_deviance",0.139901896201484,"lower",19904,"proportion"
"mtbls79","MTBLS79","G_SA","selective/all","residual_run_order_gam_sd_deviance",0.168141961932324,"lower",19904,"proportion"
"mtbls79","MTBLS79","G_SA","selective/all","residual_ljung_box_proportion_significant",0.00221061093247588,"lower",19904,"proportion"
"mtbls79","MTBLS79","G_SA","selective/all","batch_weighted_pc_r2_categorical",0.0106558279333553,"lower",134,"weighted R-squared"
"mtbls79","MTBLS79","G_SA","selective/all","retained_features",2488,"higher",2488,"features"
"mtbls79","MTBLS79","G_SA","selective/all","retained_samples",172,"higher",172,"samples"
"mtbls79","MTBLS79","G_SA","selective/all","runtime_sec",7.19299999999999,"lower",1,"seconds"
"mtbls79","MTBLS79","G_SA","selective/all","drift_profiles_corrected",52,"descriptive",19904,"profiles"
"mtbls79","MTBLS79","G_SA","selective/all","drift_features_corrected",40,"descriptive",2488,"features"
"mtbls79","MTBLS79","G_SA","selective/all","batch_features_corrected",2488,"descriptive",2488,"features"
"mtbls79","MTBLS79","G_SA","selective/all","biological_weighted_pc_r2",0.471170085143598,"higher",134,"weighted R-squared"
"mtbls79","MTBLS79","G_SA","selective/all","metabolite_icc_a1_median",0.681807145737552,"higher",2488,"ICC(A,1)"
"mtbls79","MTBLS79","G_SA","selective/all","sample_replicate_pearson_median",0.976760590417258,"higher",20,"correlation"
"mtbls79","MTBLS79","G_SA","selective/all","biological_associated_features",1015,"context",2488,"features"
