"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","seed_id"
"heldout_qc_cv_mean",44.2100431097472,"lower",1000,"percent","","simulation","C0_RAW","Raw","SIM01"
"heldout_qc_cv_sd",31.0743750702016,"lower",1000,"percent","","simulation","C0_RAW","Raw","SIM01"
"heldout_qc_cv_median",41.8805446465495,"lower",1000,"percent","","simulation","C0_RAW","Raw","SIM01"
"residual_run_order_gam_mean_deviance",0.12764961730634,"lower",5000,"proportion","","simulation","C0_RAW","Raw","SIM01"
"residual_run_order_gam_sd_deviance",0.197313555439377,"lower",5000,"proportion","","simulation","C0_RAW","Raw","SIM01"
"residual_ljung_box_proportion_significant",0.2482,"lower",5000,"proportion","","simulation","C0_RAW","Raw","SIM01"
"batch_weighted_pc_r2_categorical",0.965647338615417,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","C0_RAW","Raw","SIM01"
"retained_features",1000,"higher",1000,"features","","simulation","C0_RAW","Raw","SIM01"
"retained_samples",500,"higher",500,"samples","","simulation","C0_RAW","Raw","SIM01"
"runtime_sec",0,"lower",1,"seconds","","simulation","C0_RAW","Raw","SIM01"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","C0_RAW","Raw","SIM01"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","C0_RAW","Raw","SIM01"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","C0_RAW","Raw","SIM01"
"truth_metabolite_profile_icc_mean",0.586183758689398,"higher",1000,"ICC(A,1)","","simulation","C0_RAW","Raw","SIM01"
"truth_sample_profile_pearson_mean",0.521842186444926,"higher",450,"correlation","","simulation","C0_RAW","Raw","SIM01"
"truth_log1p_rmse",0.290839531888212,"lower",450000,"log1p intensity","","simulation","C0_RAW","Raw","SIM01"
"heldout_qc_cv_mean",41.2391327242834,"lower",1000,"percent","","simulation","C1_OUTLIER","Outlier","SIM01"
"heldout_qc_cv_sd",26.0274392692478,"lower",1000,"percent","","simulation","C1_OUTLIER","Outlier","SIM01"
"heldout_qc_cv_median",41.419150550022,"lower",1000,"percent","","simulation","C1_OUTLIER","Outlier","SIM01"
"residual_run_order_gam_mean_deviance",0.127784583538385,"lower",5000,"proportion","","simulation","C1_OUTLIER","Outlier","SIM01"
"residual_run_order_gam_sd_deviance",0.198560630343591,"lower",5000,"proportion","","simulation","C1_OUTLIER","Outlier","SIM01"
"residual_ljung_box_proportion_significant",0.2468,"lower",5000,"proportion","","simulation","C1_OUTLIER","Outlier","SIM01"
"batch_weighted_pc_r2_categorical",0.96654180919283,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","C1_OUTLIER","Outlier","SIM01"
"retained_features",1000,"higher",1000,"features","","simulation","C1_OUTLIER","Outlier","SIM01"
"retained_samples",500,"higher",500,"samples","","simulation","C1_OUTLIER","Outlier","SIM01"
"runtime_sec",0.522,"lower",1,"seconds","","simulation","C1_OUTLIER","Outlier","SIM01"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","C1_OUTLIER","Outlier","SIM01"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","C1_OUTLIER","Outlier","SIM01"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","C1_OUTLIER","Outlier","SIM01"
"truth_metabolite_profile_icc_mean",0.592393835101706,"higher",1000,"ICC(A,1)","","simulation","C1_OUTLIER","Outlier","SIM01"
"truth_sample_profile_pearson_mean",0.545068216956092,"higher",450,"correlation","","simulation","C1_OUTLIER","Outlier","SIM01"
"truth_log1p_rmse",0.255515817894849,"lower",450000,"log1p intensity","","simulation","C1_OUTLIER","Outlier","SIM01"
"heldout_qc_cv_mean",38.2656130040335,"lower",1000,"percent","","simulation","C2_SELECTIVE_DRIFT","+ selective drift","SIM01"
"heldout_qc_cv_sd",26.7176467312114,"lower",1000,"percent","","simulation","C2_SELECTIVE_DRIFT","+ selective drift","SIM01"
"heldout_qc_cv_median",40.0104566982962,"lower",1000,"percent","","simulation","C2_SELECTIVE_DRIFT","+ selective drift","SIM01"
"residual_run_order_gam_mean_deviance",0.020246546682198,"lower",5000,"proportion","","simulation","C2_SELECTIVE_DRIFT","+ selective drift","SIM01"
"residual_run_order_gam_sd_deviance",0.0337595903614039,"lower",5000,"proportion","","simulation","C2_SELECTIVE_DRIFT","+ selective drift","SIM01"
"residual_ljung_box_proportion_significant",0.0078,"lower",5000,"proportion","","simulation","C2_SELECTIVE_DRIFT","+ selective drift","SIM01"
"batch_weighted_pc_r2_categorical",0.988740453759014,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","C2_SELECTIVE_DRIFT","+ selective drift","SIM01"
"retained_features",1000,"higher",1000,"features","","simulation","C2_SELECTIVE_DRIFT","+ selective drift","SIM01"
"retained_samples",500,"higher",500,"samples","","simulation","C2_SELECTIVE_DRIFT","+ selective drift","SIM01"
"runtime_sec",13.201,"lower",1,"seconds","","simulation","C2_SELECTIVE_DRIFT","+ selective drift","SIM01"
"drift_profiles_corrected",1440,"descriptive",5000,"profiles","","simulation","C2_SELECTIVE_DRIFT","+ selective drift","SIM01"
"drift_features_corrected",655,"descriptive",1000,"features","","simulation","C2_SELECTIVE_DRIFT","+ selective drift","SIM01"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","C2_SELECTIVE_DRIFT","+ selective drift","SIM01"
"truth_metabolite_profile_icc_mean",0.625731179450323,"higher",1000,"ICC(A,1)","","simulation","C2_SELECTIVE_DRIFT","+ selective drift","SIM01"
"truth_sample_profile_pearson_mean",0.556054220859967,"higher",450,"correlation","","simulation","C2_SELECTIVE_DRIFT","+ selective drift","SIM01"
"truth_log1p_rmse",0.244131223724653,"lower",450000,"log1p intensity","","simulation","C2_SELECTIVE_DRIFT","+ selective drift","SIM01"
"heldout_qc_cv_mean",8.76629278513728,"lower",1000,"percent","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM01"
"heldout_qc_cv_sd",6.24541161559367,"lower",1000,"percent","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM01"
"heldout_qc_cv_median",7.76573226958891,"lower",1000,"percent","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM01"
"residual_run_order_gam_mean_deviance",0.0202464765939647,"lower",5000,"proportion","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM01"
"residual_run_order_gam_sd_deviance",0.0337596289190507,"lower",5000,"proportion","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM01"
"residual_ljung_box_proportion_significant",0.0078,"lower",5000,"proportion","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM01"
"batch_weighted_pc_r2_categorical",0.00100003444860318,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM01"
"retained_features",1000,"higher",1000,"features","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM01"
"retained_samples",500,"higher",500,"samples","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM01"
"runtime_sec",16.725,"lower",1,"seconds","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM01"
"drift_profiles_corrected",1440,"descriptive",5000,"profiles","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM01"
"drift_features_corrected",655,"descriptive",1000,"features","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM01"
"batch_features_corrected",725,"descriptive",1000,"features","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM01"
"truth_metabolite_profile_icc_mean",0.922210881985038,"higher",1000,"ICC(A,1)","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM01"
"truth_sample_profile_pearson_mean",0.925722979080725,"higher",450,"correlation","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM01"
"truth_log1p_rmse",0.0717287587917801,"lower",450000,"log1p intensity","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM01"
"heldout_qc_cv_mean",8.76629278513728,"lower",1000,"percent","","simulation","C4_FULL_FIXED","+ PQN","SIM01"
"heldout_qc_cv_sd",6.24541161559367,"lower",1000,"percent","","simulation","C4_FULL_FIXED","+ PQN","SIM01"
"heldout_qc_cv_median",7.76573226958891,"lower",1000,"percent","","simulation","C4_FULL_FIXED","+ PQN","SIM01"
"residual_run_order_gam_mean_deviance",0.020259360410254,"lower",5000,"proportion","","simulation","C4_FULL_FIXED","+ PQN","SIM01"
"residual_run_order_gam_sd_deviance",0.033790592433155,"lower",5000,"proportion","","simulation","C4_FULL_FIXED","+ PQN","SIM01"
"residual_ljung_box_proportion_significant",0.0078,"lower",5000,"proportion","","simulation","C4_FULL_FIXED","+ PQN","SIM01"
"batch_weighted_pc_r2_categorical",0.000984578035653711,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","C4_FULL_FIXED","+ PQN","SIM01"
"retained_features",1000,"higher",1000,"features","","simulation","C4_FULL_FIXED","+ PQN","SIM01"
"retained_samples",500,"higher",500,"samples","","simulation","C4_FULL_FIXED","+ PQN","SIM01"
"runtime_sec",17.598,"lower",1,"seconds","","simulation","C4_FULL_FIXED","+ PQN","SIM01"
"drift_profiles_corrected",1440,"descriptive",5000,"profiles","","simulation","C4_FULL_FIXED","+ PQN","SIM01"
"drift_features_corrected",655,"descriptive",1000,"features","","simulation","C4_FULL_FIXED","+ PQN","SIM01"
"batch_features_corrected",725,"descriptive",1000,"features","","simulation","C4_FULL_FIXED","+ PQN","SIM01"
"truth_metabolite_profile_icc_mean",0.922101988056287,"higher",1000,"ICC(A,1)","","simulation","C4_FULL_FIXED","+ PQN","SIM01"
"truth_sample_profile_pearson_mean",0.925722367961271,"higher",450,"correlation","","simulation","C4_FULL_FIXED","+ PQN","SIM01"
"truth_log1p_rmse",0.0717656363030658,"lower",450000,"log1p intensity","","simulation","C4_FULL_FIXED","+ PQN","SIM01"
"heldout_qc_cv_mean",8.76629278513728,"lower",1000,"percent","","simulation","G_SS","selective/selective","SIM01"
"heldout_qc_cv_sd",6.24541161559367,"lower",1000,"percent","","simulation","G_SS","selective/selective","SIM01"
"heldout_qc_cv_median",7.76573226958891,"lower",1000,"percent","","simulation","G_SS","selective/selective","SIM01"
"residual_run_order_gam_mean_deviance",0.020259360410254,"lower",5000,"proportion","","simulation","G_SS","selective/selective","SIM01"
"residual_run_order_gam_sd_deviance",0.033790592433155,"lower",5000,"proportion","","simulation","G_SS","selective/selective","SIM01"
"residual_ljung_box_proportion_significant",0.0078,"lower",5000,"proportion","","simulation","G_SS","selective/selective","SIM01"
"batch_weighted_pc_r2_categorical",0.000984578035653711,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","G_SS","selective/selective","SIM01"
"retained_features",1000,"higher",1000,"features","","simulation","G_SS","selective/selective","SIM01"
"retained_samples",500,"higher",500,"samples","","simulation","G_SS","selective/selective","SIM01"
"runtime_sec",17.598,"lower",1,"seconds","","simulation","G_SS","selective/selective","SIM01"
"drift_profiles_corrected",1440,"descriptive",5000,"profiles","","simulation","G_SS","selective/selective","SIM01"
"drift_features_corrected",655,"descriptive",1000,"features","","simulation","G_SS","selective/selective","SIM01"
"batch_features_corrected",725,"descriptive",1000,"features","","simulation","G_SS","selective/selective","SIM01"
"truth_metabolite_profile_icc_mean",0.922101988056287,"higher",1000,"ICC(A,1)","","simulation","G_SS","selective/selective","SIM01"
"truth_sample_profile_pearson_mean",0.925722367961271,"higher",450,"correlation","","simulation","G_SS","selective/selective","SIM01"
"truth_log1p_rmse",0.0717656363030658,"lower",450000,"log1p intensity","","simulation","G_SS","selective/selective","SIM01"
"heldout_qc_cv_mean",10.7950921650205,"lower",1000,"percent","","simulation","G_AS","all/selective","SIM01"
"heldout_qc_cv_sd",5.09851469131674,"lower",1000,"percent","","simulation","G_AS","all/selective","SIM01"
"heldout_qc_cv_median",9.43095014939824,"lower",1000,"percent","","simulation","G_AS","all/selective","SIM01"
"residual_run_order_gam_mean_deviance",0.000773516898207875,"lower",5000,"proportion","","simulation","G_AS","all/selective","SIM01"
"residual_run_order_gam_sd_deviance",0.00295914512847696,"lower",5000,"proportion","","simulation","G_AS","all/selective","SIM01"
"residual_ljung_box_proportion_significant",0.0132,"lower",5000,"proportion","","simulation","G_AS","all/selective","SIM01"
"batch_weighted_pc_r2_categorical",0.000850718286039682,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","G_AS","all/selective","SIM01"
"retained_features",1000,"higher",1000,"features","","simulation","G_AS","all/selective","SIM01"
"retained_samples",500,"higher",500,"samples","","simulation","G_AS","all/selective","SIM01"
"runtime_sec",40.877,"lower",1,"seconds","","simulation","G_AS","all/selective","SIM01"
"drift_profiles_corrected",5000,"descriptive",5000,"profiles","","simulation","G_AS","all/selective","SIM01"
"drift_features_corrected",1000,"descriptive",1000,"features","","simulation","G_AS","all/selective","SIM01"
"batch_features_corrected",728,"descriptive",1000,"features","","simulation","G_AS","all/selective","SIM01"
"truth_metabolite_profile_icc_mean",0.910460210285255,"higher",1000,"ICC(A,1)","","simulation","G_AS","all/selective","SIM01"
"truth_sample_profile_pearson_mean",0.914863811819088,"higher",450,"correlation","","simulation","G_AS","all/selective","SIM01"
"truth_log1p_rmse",0.0755212043596487,"lower",450000,"log1p intensity","","simulation","G_AS","all/selective","SIM01"
"heldout_qc_cv_mean",9.10860426114912,"lower",1000,"percent","","simulation","G_SA","selective/all","SIM01"
"heldout_qc_cv_sd",5.90142525941107,"lower",1000,"percent","","simulation","G_SA","selective/all","SIM01"
"heldout_qc_cv_median",7.85893016567543,"lower",1000,"percent","","simulation","G_SA","selective/all","SIM01"
"residual_run_order_gam_mean_deviance",0.0202504886317659,"lower",5000,"proportion","","simulation","G_SA","selective/all","SIM01"
"residual_run_order_gam_sd_deviance",0.0337660629426647,"lower",5000,"proportion","","simulation","G_SA","selective/all","SIM01"
"residual_ljung_box_proportion_significant",0.0078,"lower",5000,"proportion","","simulation","G_SA","selective/all","SIM01"
"batch_weighted_pc_r2_categorical",9.15272892016977e-05,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","G_SA","selective/all","SIM01"
"retained_features",1000,"higher",1000,"features","","simulation","G_SA","selective/all","SIM01"
"retained_samples",500,"higher",500,"samples","","simulation","G_SA","selective/all","SIM01"
"runtime_sec",17.18,"lower",1,"seconds","","simulation","G_SA","selective/all","SIM01"
"drift_profiles_corrected",1440,"descriptive",5000,"profiles","","simulation","G_SA","selective/all","SIM01"
"drift_features_corrected",655,"descriptive",1000,"features","","simulation","G_SA","selective/all","SIM01"
"batch_features_corrected",1000,"descriptive",1000,"features","","simulation","G_SA","selective/all","SIM01"
"truth_metabolite_profile_icc_mean",0.921230243391027,"higher",1000,"ICC(A,1)","","simulation","G_SA","selective/all","SIM01"
"truth_sample_profile_pearson_mean",0.924797943507282,"higher",450,"correlation","","simulation","G_SA","selective/all","SIM01"
"truth_log1p_rmse",0.0721145524012737,"lower",450000,"log1p intensity","","simulation","G_SA","selective/all","SIM01"
"heldout_qc_cv_mean",10.9169677941253,"lower",1000,"percent","","simulation","G_AA","all/all","SIM01"
"heldout_qc_cv_sd",5.06025497581264,"lower",1000,"percent","","simulation","G_AA","all/all","SIM01"
"heldout_qc_cv_median",9.70138424815032,"lower",1000,"percent","","simulation","G_AA","all/all","SIM01"
"residual_run_order_gam_mean_deviance",0.000773314503840401,"lower",5000,"proportion","","simulation","G_AA","all/all","SIM01"
"residual_run_order_gam_sd_deviance",0.00296620240447871,"lower",5000,"proportion","","simulation","G_AA","all/all","SIM01"
"residual_ljung_box_proportion_significant",0.013,"lower",5000,"proportion","","simulation","G_AA","all/all","SIM01"
"batch_weighted_pc_r2_categorical",0.000105489848278708,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","G_AA","all/all","SIM01"
"retained_features",1000,"higher",1000,"features","","simulation","G_AA","all/all","SIM01"
"retained_samples",500,"higher",500,"samples","","simulation","G_AA","all/all","SIM01"
"runtime_sec",41.493,"lower",1,"seconds","","simulation","G_AA","all/all","SIM01"
"drift_profiles_corrected",5000,"descriptive",5000,"profiles","","simulation","G_AA","all/all","SIM01"
"drift_features_corrected",1000,"descriptive",1000,"features","","simulation","G_AA","all/all","SIM01"
"batch_features_corrected",1000,"descriptive",1000,"features","","simulation","G_AA","all/all","SIM01"
"truth_metabolite_profile_icc_mean",0.909547858318861,"higher",1000,"ICC(A,1)","","simulation","G_AA","all/all","SIM01"
"truth_sample_profile_pearson_mean",0.913957044306018,"higher",450,"correlation","","simulation","G_AA","all/all","SIM01"
"truth_log1p_rmse",0.075859055149693,"lower",450000,"log1p intensity","","simulation","G_AA","all/all","SIM01"
"heldout_qc_cv_mean",46.0458554803273,"lower",1000,"percent","","simulation","C0_RAW","Raw","SIM02"
"heldout_qc_cv_sd",32.1132176274835,"lower",1000,"percent","","simulation","C0_RAW","Raw","SIM02"
"heldout_qc_cv_median",43.7952787488203,"lower",1000,"percent","","simulation","C0_RAW","Raw","SIM02"
"residual_run_order_gam_mean_deviance",0.126608992121227,"lower",5000,"proportion","","simulation","C0_RAW","Raw","SIM02"
"residual_run_order_gam_sd_deviance",0.193054687378834,"lower",5000,"proportion","","simulation","C0_RAW","Raw","SIM02"
"residual_ljung_box_proportion_significant",0.2532,"lower",5000,"proportion","","simulation","C0_RAW","Raw","SIM02"
"batch_weighted_pc_r2_categorical",0.963599564642599,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","C0_RAW","Raw","SIM02"
"retained_features",1000,"higher",1000,"features","","simulation","C0_RAW","Raw","SIM02"
"retained_samples",500,"higher",500,"samples","","simulation","C0_RAW","Raw","SIM02"
"runtime_sec",0,"lower",1,"seconds","","simulation","C0_RAW","Raw","SIM02"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","C0_RAW","Raw","SIM02"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","C0_RAW","Raw","SIM02"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","C0_RAW","Raw","SIM02"
"truth_metabolite_profile_icc_mean",0.577019055009956,"higher",1000,"ICC(A,1)","","simulation","C0_RAW","Raw","SIM02"
"truth_sample_profile_pearson_mean",0.510193725862697,"higher",450,"correlation","","simulation","C0_RAW","Raw","SIM02"
"truth_log1p_rmse",0.299586966363763,"lower",450000,"log1p intensity","","simulation","C0_RAW","Raw","SIM02"
"heldout_qc_cv_mean",42.5259446012445,"lower",1000,"percent","","simulation","C1_OUTLIER","Outlier","SIM02"
"heldout_qc_cv_sd",26.4286253749545,"lower",1000,"percent","","simulation","C1_OUTLIER","Outlier","SIM02"
"heldout_qc_cv_median",42.7852019762178,"lower",1000,"percent","","simulation","C1_OUTLIER","Outlier","SIM02"
"residual_run_order_gam_mean_deviance",0.126947227485694,"lower",5000,"proportion","","simulation","C1_OUTLIER","Outlier","SIM02"
"residual_run_order_gam_sd_deviance",0.194406005168534,"lower",5000,"proportion","","simulation","C1_OUTLIER","Outlier","SIM02"
"residual_ljung_box_proportion_significant",0.2504,"lower",5000,"proportion","","simulation","C1_OUTLIER","Outlier","SIM02"
