"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","seed_id"
"heldout_qc_cv_mean",44.2100431097472,"lower",1000,"percent","","simulation","raw","Raw","SIM01"
"heldout_qc_cv_sd",31.0743750702016,"lower",1000,"percent","","simulation","raw","Raw","SIM01"
"heldout_qc_cv_median",41.8805446465495,"lower",1000,"percent","","simulation","raw","Raw","SIM01"
"residual_run_order_gam_mean_deviance",0.12764961730634,"lower",5000,"proportion","","simulation","raw","Raw","SIM01"
"residual_run_order_gam_sd_deviance",0.197313555439377,"lower",5000,"proportion","","simulation","raw","Raw","SIM01"
"residual_ljung_box_proportion_significant",0.2482,"lower",5000,"proportion","","simulation","raw","Raw","SIM01"
"batch_weighted_pc_r2_categorical",0.965647338615417,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","raw","Raw","SIM01"
"retained_features",1000,"higher",1000,"features","","simulation","raw","Raw","SIM01"
"retained_samples",500,"higher",500,"samples","","simulation","raw","Raw","SIM01"
"runtime_sec",0,"lower",1,"seconds","no correction","simulation","raw","Raw","SIM01"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","raw","Raw","SIM01"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","raw","Raw","SIM01"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","raw","Raw","SIM01"
"truth_metabolite_profile_icc_mean",0.586183758689398,"higher",1000,"ICC(A,1)","","simulation","raw","Raw","SIM01"
"truth_sample_profile_pearson_mean",0.521842186444926,"higher",450,"correlation","","simulation","raw","Raw","SIM01"
"truth_log1p_rmse",0.290839531888212,"lower",450000,"log1p intensity","","simulation","raw","Raw","SIM01"
"heldout_qc_cv_mean",12.404955532938,"lower",1000,"percent","","simulation","combat","ComBat","SIM01"
"heldout_qc_cv_sd",9.39337549034977,"lower",1000,"percent","","simulation","combat","ComBat","SIM01"
"heldout_qc_cv_median",10.9407293509127,"lower",1000,"percent","","simulation","combat","ComBat","SIM01"
"residual_run_order_gam_mean_deviance",0.127649520286793,"lower",5000,"proportion","","simulation","combat","ComBat","SIM01"
"residual_run_order_gam_sd_deviance",0.197313916613525,"lower",5000,"proportion","","simulation","combat","ComBat","SIM01"
"residual_ljung_box_proportion_significant",0.2482,"lower",5000,"proportion","","simulation","combat","ComBat","SIM01"
"batch_weighted_pc_r2_categorical",0.000103519147488483,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","combat","ComBat","SIM01"
"retained_features",1000,"higher",1000,"features","","simulation","combat","ComBat","SIM01"
"retained_samples",500,"higher",500,"samples","","simulation","combat","ComBat","SIM01"
