"order","method","analysis_family"
1,"Raw","cross_method"
2,"ComBat","cross_method"
3,"QC-RLSC","cross_method"
4,"QC-RFSC","cross_method"
5,"TIGER","cross_method"
6,"SERRF","cross_method"
7,"WINN auto (QC)","cross_method"
8,"WINN auto-batch (QC)","cross_method"
9,"WINN default (no QC)","cross_method"
10,"C0_RAW","winn_ablation"
11,"C1_OUTLIER","winn_ablation"
12,"C2_SELECTIVE_DRIFT","winn_ablation"
13,"C3_SELECTIVE_BATCH","winn_ablation"
14,"C4_FULL_FIXED","winn_ablation"
15,"G_SS","winn_gate_factorial"
16,"G_AS","winn_gate_factorial"
17,"G_SA","winn_gate_factorial"
18,"G_AA","winn_gate_factorial"
