"metric","direction","units"
"heldout_qc_cv_mean","lower","percent"
"heldout_qc_cv_median","lower","percent"
"heldout_qc_cv_sd","lower","percent"
"hidden_qc_profile_pearson_median","higher","correlation"
"hidden_qc_profile_spearman_median","higher","correlation"
"residual_gam_deviance_mean","lower","proportion"
"residual_gam_deviance_median","lower","proportion"
"residual_ljung_box_significant","lower","profiles"
"residual_ljung_box_proportion","lower","proportion"
"batch_weighted_pc_r2","lower","weighted R-squared"
"truth_sample_profile_pearson_mean","higher","correlation"
"truth_metabolite_profile_icc_mean","higher","ICC(A,1)"
"truth_log1p_rmse","lower","log1p intensity"
"features_retained","higher","features"
"samples_retained","higher","samples"
"feature_coverage","higher","proportion"
"sample_coverage","higher","proportion"
"runtime_sec","lower","seconds"
"drift_gate_sensitivity","higher","proportion"
"drift_gate_specificity","higher","proportion"
"drift_gate_precision","higher","proportion"
"drift_gate_false_positive_rate","lower","proportion"
"batch_gate_sensitivity","higher","proportion"
"batch_gate_specificity","higher","proportion"
"batch_gate_precision","higher","proportion"
"batch_gate_false_positive_rate","lower","proportion"
"unaffected_features_modified","lower","proportion"
"affected_features_left_unchanged","lower","proportion"
